Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/1/12 21:56,"投票前這一夜，我們終於來到總統府前的凱道上，小草們圍繞著景福門，一路佈滿信義路、仁愛路。

謝謝你們的支持，我和台灣民眾黨，和大家一起走到這裡，我們在藍綠的夾殺下生存了下來，把希望改變的聲音傳達給全台灣，想對大家說的話很多，我帶著所有台灣民眾黨的黨工和優秀人才，千言萬語化作一句，謝謝大家。

一夜激情過後，大家要記得，今天早點睡，明天早點起，帶著爸爸媽媽爺爺奶奶外公外婆吃個早點，然後走進投票所，投給1號柯文哲吳欣盈，政黨票投給12號台灣民眾黨，讓人民走進台北市重慶南路122號，一起 #改變台灣 ，為這塊土地帶來 #希望 。",2022,134,346
2024/1/12 17:54,"📸 2024 Taiwan People's Party Presidential Pre-Election International Press Conference 

@KP_Taiwan and @cywuofficial are prepared to lead Taiwan towards a better future with a rational and pragmatic approach. 
It's time to bring about change. ",330,34,83
2024/1/4 20:08,"Hello everyone - this is Cynthia Wu. I'll be using this page to update you on my campaign, events, thoughts, and other initiatives. It’s good to be here on @X!",213,15,94
2023/12/8 18:53,"It was our honor to welcome over 40 ambassadors, representatives, and diplomats participating in the TPP 2023 diplomatic reception on Dec 5th.

I am grateful for the opportunity to share my prospects and policies on foreign relations, national defense, and cross-strait relations with members of diplomatic corps and friends. Committed to advancing shared democratic values, I anticipate cultivating enduring partnerships for mutual prosperity. 🌎",620,36,121
2023/10/20 11:38,"This week, I had the pleasure to share Taiwan's seafood delicacies with @BoardChairAIT and AIT friends. Our dialogue underscored the Taiwan-U.S. partnership in maintaining peace, stability, and prosperity in the region, deeply rooted in shared values of democracy and freedom.

As a gesture of appreciation, I presented Chair Rosenberger with a KP thermos and a power bank, symbolizing our commitment to strengthening the Taiwan-U.S. relationship, even in the face of challenges.

In these evolving times, Taiwan has an unwavering confidence to our persistence for regional stability, and the partnership rooted in shared values between Taiwan and the United States grows stronger every day.",377,21,81
2023/10/6 5:49,"During my trip to the United States, I had the opportunity to visit @Stanford, an amazing university steeped in a rich history spanning over 130 years. It was such an honor to connect with scholars and students at @HooverInst who are deeply immersed in the study of East Asian affairs.

Dr. Kharis Templeman, a renowned research fellow at the Hoover Institution with extensive knowledge about Taiwan, led our discussions with the students, covering a wide range of topics. We delved into details of Taiwan-U.S. relations and cross-strait dynamics to national defense, education, the TSMC, AI, and much more. I was truly impressed by students' assiduous learning and efforts.

The visit to Silicon Valley allowed us to witness firsthand the cutting-edge trends and technologies that are shaping our world. In just three day’s duration of stay, my team and I experienced the transformative power of AI innovation, which is set to revolutionize all professions and jobs in the future. To stay competitive, Taiwan must align itself with these global trends and incessantly adapt to these changes.",159,7,23
2023/10/6 5:49,"此次訪美，我特別來到創校超過130年的 #史丹佛大學，拜訪 #胡佛研究所，與許多從事東亞區域研究的學者、同學們進行座談。

祁凱立研究員對台灣非常熟悉，同學們關注的問題也十分廣泛，從台美關係、兩岸關係，到國防、教育、tsmc 的發展等等，問題一個接一個，求知慾旺盛。

來一趟矽谷，看到全球最先進的趨勢與技術、人才培育，僅僅三天，我和團隊已經感受到世界正在AI的發明下翻天覆地，未來人類所有職業與工作內容將發生革命性變化，台灣必需跟上世界趨勢、才能持續創造優勢。",442,18,40
2023/10/5 18:11,"We must work with experts in the field to identify optimal solutions for Taiwan's security while simultaneously 
nurturing the growth of our domestic defense industry.",61,1,10
2023/10/5 18:11,"Given the complex web of international challenges we currently face, it is imperative that we foster collaborative efforts in national defense.",41,2,5
2023/10/5 18:11,"This year, the Taiwan People's Party made its debut appearance, providing us with the honor of reconnecting with old friends and establishing new connections with representatives from both Taiwan and the United States within the defense industry sector",35,2,7
2023/10/5 18:11,This event marked the 22nd successful installment of the Defense Industry Forum organized by the US-Taiwan Business Council.,33,1,4
2023/10/5 18:11,,82,2,20
2023/10/5 18:10,"Secretary-General @ambtomchou representing Chairman @KP_Taiwan, recently participated in the 2023 @ustaiwan US-Taiwan Business Council Defense Industry Forum held Williamsburg, Virginia.",50,3,11
2023/9/23 21:09,"The fire happened yesterday at the golf equipment factory in Pingtung Science Park has shocked the nation with over a hundred injured, a death toll climbing to six, and several others are still missing.

The Pingtung County Fire Department reports that a massive explosion occurred during the firefighting efforts. Additionally, there were significant amount of flammable materials such as plastic pellets and rubber inside the factory. However, after the amendment of the #Fire Services Act in 2019, any factory management is mandated to provide chemical inventory, site plans, and other necessary information during a fire incident, as well as designate personnel to assist in disaster relief. The question arises as to why this incident still resulted in such severe casualties, and a thorough investigation is imperative to determine accountability.

I pledge that if elected as the president, I will support the #formation of firefighters' unions and a fully implement the #Occupational Safety and Health Act. Through institutional reforms, we aim to reduce the risks faced by our firefighter brothers and ensure their safe return home.",131,10,38
2023/9/23 21:09,"屏東科技園區的高爾夫球具工廠大火，傷者破百，死亡人數已經攀升到六人，還有多位仍然失聯。

屏東縣消防局表示，救火當下發生大爆炸，同時場內還有大量塑膠粒、橡膠等易燃物，到底消防隊到現場後，是否有得到工廠內易燃物或化學物品、平面圖等救災必要資訊，為何造成如此嚴重傷亡，一定要確實調查，以慰英勇消防隊員在天之靈。

 我承諾當選總統會支持消防員組工會 、全面適用職業安全衛生法。透過制度改革，讓消防弟兄救災風險降低，平安回家。",415,18,61
