Tweet Date,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/1/9 16:19,"Joined by @bikhim, I discussed our policy frameworks with the international press today. Aligned with President Tsai’s initiatives, we remain committed to maintaining the status quo, ensuring peace &amp; stability in the Indo-Pacific region, and fostering global prosperity. ",5534,842,534
2024/1/5 12:39,日本有事は台湾有事です。被災された方には改めてお見舞い申し上げます。台湾と日本の人たちの心は一つです。私たちの少しばかりの気持ちが、日本政府の救助活動や被災地再建の一助となるよう願っています。まさかの時の友こそ真の友。私たちと一緒に「善の循環」を継続させていきましょう！,22516,4442,550
2024/1/2 22:21,羽田空港での航空機接触事故の報に接し、心よりお見舞いを申し上げます。亡くなられた方々のご冥福と、けがをされた方々の一日も早いご回復をお祈りします。また、緊急脱出に関わったすべての皆さまに敬意を表します。私たちは日本の皆さまとともにあります。,11707,1846,312
2024/1/1 15:56,The new year unfolds with raising the ROC flag at our Presidential Office. I’m grateful for everyone who contributed to #Taiwan’s resilience and strength in 2023. My dedication to fostering safety and prosperity in Taiwan remains steadfast. Here's to a strong 2024! ,4378,477,221
2023/12/31 21:04,"Reflecting on the milestones of 2023, I'm confident in the collaborative endeavors that lie ahead &amp; look forward to the opportunities for growth, friendship, and global cooperation that 2024 holds. Wishing everyone a year of prosperity, unity, and joy. Happy New Year!",3500,440,279
2023/12/25 13:19,"Merry Christmas and Happy Holidays to all celebrating in #Taiwan and around the world! May this season be filled with peace, love, and shared moments of joy. ",3436,368,225
2023/12/22 17:36,Sending warm wishes to all for a joyous &amp; peaceful Winter Solstice #冬至 with family and friends. ,2056,268,127
2023/12/22 13:32,"My sincere condolences to the victims and everyone affected by the tragic shooting incident at Charles University in Prague. We stand in solidarity with the Czech Republic during this difficult time, and our thoughts are with the people of Prague.",1458,173,66
2023/12/18 15:15,"Happy #InternationalMigrantsDay! Today, we celebrate the contributions of migrants &amp; the wonderful tapestry of cultures that make #Taiwan diverse. To our cherished migrant community: Thank you for coming to Taiwan, and we will continue to work towards a better future for all. ",1297,144,86
2023/12/10 12:30,"On #HumanRightsDay, we in #Taiwan renew our commitment to safeguarding human rights both at home and around the world. As we celebrate equality, we reaffirm our dedication to fostering international collaboration to uphold shared values and protect fundamental rights.",1413,174,184
2023/12/3 16:16,Extending a warm welcome to all the incredible teams participating in the Asian Baseball Championship games! Best of luck to #TeamTaiwan🇹🇼––we’ll be cheering for you all the way. Let the games begin! ⚾️ ,2034,167,116
