doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_975fcc82b4a8,_975fcc82b4a8_u000,"On our way, continuing on the path of democracy. #MadeinTaiwan",context,,,[],[],False,,a5e699c32b94ec88c9f014ce7874088a,False,01_Hou_X_datasets,2024-01-02 22:43:00
_bef147974618,_bef147974618_u000,"Wishing everyone a peaceful, happy, and prosperous new 2024!",context,,#MadeinTaiwan,[],[],False,,8cb67cfb705fdf13f11e1b7a60cbb1d9,False,01_Hou_X_datasets,2024-01-01 10:42:00
_bef147974618,_bef147974618_u001,#MadeinTaiwan,context,"Wishing everyone a peaceful, happy, and prosperous new 2024!",,[],[],False,,617c040737bfb17d83cdaa20b61d7ae9,False,01_Hou_X_datasets,2024-01-01 10:42:00
_61837cdc2320,_61837cdc2320_u000,"I know I’m a few days late on this platform. Nevertheless, seasons greetings to all across the globe, though no holiday for me these days.",context,,,[],[],False,,94ce244e036b00dd9861e3fe14b2fcca,False,01_Hou_X_datasets,2023-12-27 06:41:00
_fd280cc20663,_fd280cc20663_u000,"Ahead of Taiwan’s election on January 13th, Hsiao Bi-khim, the country’s former representative to America and current vice-presidential candidate sat down for an interview with The Economist. Read the transcript of the conversation",context,,,[],[],False,,dc357591feb759bd471667655d69e0c1,False,01_Hou_X_datasets,2023-12-16 00:21:00
_89a89c17df33,_89a89c17df33_u000,"I did an interview with the Economist, in which I spoke about the balance Taiwan seeks to maintain in a complicated environment.",context,,,[],[],False,,cd17fe590c6962d559f0fe7b6825bb67,False,01_Hou_X_datasets,2023-12-14 19:16:00
_6302ddf2aa92,_6302ddf2aa92_u000,Made in TAIWAN.,context,,,[],[],False,,8bc6c977d55d2e3d8bec0d6b6b89b8b2,False,01_Hou_X_datasets,2023-12-12 18:21:00
_f7fc35522d4f,_f7fc35522d4f_u000,Back in Taiwan!,context,,Honored to join @ChingteLai on the ticket as VP for 2024. Tough road ahead expected as I shoulder a heavier burden. Taiwan’s democracy deserves our best efforts.,[],[],False,,839ecaf91ba3811fa0cef4c9d9867bbe,False,01_Hou_X_datasets,2023-11-21 08:24:00
_f7fc35522d4f,_f7fc35522d4f_u001,Honored to join @ChingteLai on the ticket as VP for 2024. Tough road ahead expected as I shoulder a heavier burden. Taiwan’s democracy deserves our best efforts.,context,Back in Taiwan!,,[],[],False,,66d6191e568c1d17323d0af1d8cb997c,False,01_Hou_X_datasets,2023-11-21 08:24:00
_20e89bc97d6e,_20e89bc97d6e_u000,Very pleased to meet with Dr. Morris Chang in San Francisco to follow up on our meeting last year during APEC in Bangkok. We spoke about @POTUS and my agenda for the Indo-Pacific region and our relationship on the economy and technology.,context,,,[],[],False,,9336f4160b013645a66afc100baba9e3,False,01_Hou_X_datasets,2023-11-18 07:00:00
