doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier
_721a42ec8fa3,_721a42ec8fa3_u008,"該園有幼生家長批評市府未事前通知,造成困擾,新北市府對此回應,實際上媒體並未進入幼兒園,侯友宜也完全理解家長的心情,今天沒有影響到小朋友正常上課,他是來替幼教老師加油打氣,也呼籲副總統賴清德出來面對,為造謠、撕裂親師互信造成家長害怕、社會不安而道歉。",claim,,,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}]",[],FALSE,,3eb1f7b3880509069e510f93be1033ab,FALSE,01_Ho_ltn_news,2023/7/18 12:08,"該園有幼生家長批評市府未事前通知,造成困擾,新北市府對此回應,實際上媒體並未進入幼兒園,侯友宜也完全理解家長的心情,今天沒有影響到小朋友正常上課,他是來替幼教老師加油打氣,也呼籲副總統賴清德出來面對,為造謠、撕裂親師互信造成家長害怕、社會不安而道歉。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.548211336,,,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_152515317947,_152515317947_u000,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,context,,"〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",[],[],FALSE,,6e3202507a8d4a14c2bcb00003f8c3e9,FALSE,01_Ho_ltn_news,2023/11/21 17:55,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.601652265,,,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_152515317947,_152515317947_u001,"〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",claim,陳昭姿曾擔任一邊一國行動聯盟理事長、前總統陳水扁醫療小組發言人。,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",FALSE,,883e3f044099829a695a5391c1aafa58,FALSE,01_Ho_ltn_news,2023/11/21 17:55,"(資料照,記者陳鈺馥攝) 2023/11/21 17:55 〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_152515317947,_152515317947_u003,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。",context,"〔記者陳鈺馥/台北報導〕民眾黨主席柯文哲主張「兩岸一家親」,「台派」背景的前總統陳水扁醫療小組發言人陳昭姿將被民眾黨列入不分區立委安全名單內。","台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。","[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],FALSE,,d0a274c4d972af23d7ae73418f055ff0,FALSE,01_Ho_ltn_news,2023/11/21 17:55,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。",TRUE,cooccur: actor×institution,TRUE,gate: taiwanicity=2,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_152515317947,_152515317947_u004,"台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。",claim,"民眾黨今天上午開會討論不分區立委名單,傳前8名分別為前台北市副市長黃珊珊、前總統陳水扁醫療小組發言人陳昭姿、台灣新住民黨黨主席麥玉珍、花蓮縣藥師公會理事長林憶君、前立委黃國昌、戰國策傳播集團董事長吳春城、前北市議員林國成、資深媒體人張啟楷等。","台灣北社指出,陳昭姿從前曾因其「台派」立場而獲自由台灣黨、一邊一國行動黨提名不分區立委第一名,但皆不歡而散;","[{""name"": ""民眾黨"", ""party"": ""TPP""}]",[],FALSE,,1a6adcc43b12cbd9fe5c96bc631463d0,FALSE,01_Ho_ltn_news,2023/11/21 17:55,"台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。",TRUE,cooccur: actor×institution,TRUE,gate: taiwanicity=2,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_152515317947,_152515317947_u006,"台灣北社指出,陳昭姿從前曾因其「台派」立場而獲自由台灣黨、一邊一國行動黨提名不分區立委第一名,但皆不歡而散;",claim,"台灣北社表示,民眾黨提名不分區立委,陳昭姿早在多年前已非台灣北社社員,若有聽聞陳女發表任何有關北社言論,概屬其個人言行,與北社無關。",,[],[],FALSE,,338746dd78d726e4f424cf2bfe8ec223,FALSE,01_Ho_ltn_news,2023/11/21 17:55,"台灣北社指出,陳昭姿從前曾因其「台派」立場而獲自由台灣黨、一邊一國行動黨提名不分區立委第一名,但皆不歡而散;",TRUE,institution_only,TRUE,gate: taiwanicity=2,TRUE,KEEP,1,KEEP,1,TRUE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_61a3a9ca277f,_61a3a9ca277f_u001,"〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。",claim,,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",[],[],FALSE,,b6c1a85f19ce94b190aff5c4d2902340,FALSE,01_Ho_ltn_news,2023/4/14 18:44,"(新北市捷運工程局提供) 2023/04/14 18:44 〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.536978126,,,FALSE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_61a3a9ca277f,_61a3a9ca277f_u002,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",claim,"〔記者翁聿煌/新北報導〕新北市五股泰山輕軌可行性研究歷經13年,今天(14日)終獲行政院宣布核定,捷運局為加速推動五泰輕軌,已先行啟動綜合規劃作業,積極爭取2年內完成綜合規劃中央核定,朝向核定後6年完工通車目標,2030願景邁進,以提供市民更便捷的三環六線捷運路網,捷運工程局長李政安指出,五泰輕軌的重要性在於未來可延伸到泰山板橋輕軌,打造新北市的小外環路網。","李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",[],[],FALSE,,a64e1873a85e0e6bf0a1e9c44727ae6b,FALSE,01_Ho_ltn_news,2023/4/14 18:44,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.428805351,,,FALSE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_61a3a9ca277f,_61a3a9ca277f_u003,"李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",claim,"新北市捷運局說,五泰輕軌於2010年8月完成可行性研究,國發會去年2月21日建議行政院核定,經過1年多的等待與補充,在地方與中央共同合作努力下,終獲得行政院宣布核定。",,[],[],FALSE,,3f27a8d07972905966105388225b3c41,FALSE,01_Ho_ltn_news,2023/4/14 18:44,"李政安說,歷經13年總算爭取到行政院核定,爭取等待過程中,捷運局仍不停歇,已於2022年6月先行啟動綜合規劃,可接續辦理加速推動,朝向2024年第1季提出綜規報告送中央審議為目標,以市民期待為優先,朝向核定後6年完工的願景邁進。",TRUE,institution_only,TRUE,gate: core_election,FALSE,KEEP,0.450039417,,,FALSE,KEEP,01_news_datasets/01_Ho_ltn_news_units.csv,1
_33be6a003e2f,_33be6a003e2f_u000,"印度陸軍參謀長潘德在一場討論中國崛起的座談會上,抨擊中國「強權即真理」的國際秩序觀,且罕見三度提及台灣。",claim,,"〔中央社〕印度陸軍參謀長潘德(Manoj Pande)在一場討論中國崛起的座談會上,抨擊中國「強權即真理」的國際秩序觀,且罕見三度提及台灣。",[],[],FALSE,,a43314c46e79413698fdcb8a3a66ff65,FALSE,01_Ho_ltn_news,2023/3/28 22:57,"印度陸軍參謀長潘德在一場討論中國崛起的座談會上,抨擊中國「強權即真理」的國際秩序觀,且罕見三度提及台灣。",TRUE,institution_only,FALSE,,FALSE,KEEP,0.613894641,,,FALSE,REVIEW,01_news_datasets/01_Ho_ltn_news_units.csv,1
