doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date,preprocessed_text,hard_rule_keep,hard_rule_reason,policy_gate,policy_gate_reason,priority_keep,semantic_status,semantic_similarity,nli_status,nli_score,key_hit,final_status,_source_file,_corpus_tier,debate_short_review,drop_reason,winner__source_file,winner_source,winner__corpus_tier,winner_unit_id
_1a452c5a0b05,_1a452c5a0b05_u008,"台北海洋科技大學吳建忠認為,侯友宜與柯文哲一直都存在兩岸高於外交的路線,但國際社會已有改變。",claim,"范世平並說,賴清德可能在8月份代表蔡英文到巴拉圭參加總統的就職典禮,途中也會經過美國,相信他在美國的活動、參加僑宴或是與駐美代表蕭美琴的互動會是國際關注,也會對明年大選有所影響。","在蔡英文執政的時期,秉持外交與兩岸政策要有持續性與可預測性,而台灣認同等於是捍衛民主的關鍵,而非改變現狀的麻煩製造者。","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",False,,000c203b4e3ed483c9cccb6b3cb13432,False,02_Ke_chinatimes_news,2023-07-07 11:19:00,"台北海洋科技大學吳建忠認為,侯友宜與柯文哲一直都存在兩岸高於外交的路線,但國際社會已有改變。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6020721793174744,,,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_1a452c5a0b05_u008
_1a452c5a0b05,_1a452c5a0b05_u008,"台北海洋科技大學吳建忠認為,侯友宜與柯文哲一直都存在兩岸高於外交的路線,但國際社會已有改變。",claim,"范世平並說,賴清德可能在8月份代表蔡英文到巴拉圭參加總統的就職典禮,途中也會經過美國,相信他在美國的活動、參加僑宴或是與駐美代表蕭美琴的互動會是國際關注,也會對明年大選有所影響。","在蔡英文執政的時期,秉持外交與兩岸政策要有持續性與可預測性,而台灣認同等於是捍衛民主的關鍵,而非改變現狀的麻煩製造者。","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",False,,000c203b4e3ed483c9cccb6b3cb13432,False,03_Lai_chinatimes_news,2023-07-07 11:19:00,"台北海洋科技大學吳建忠認為,侯友宜與柯文哲一直都存在兩岸高於外交的路線,但國際社會已有改變。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.5618367791175842,,,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_1a452c5a0b05_u008
meeting2_5abdc99432aa,meeting2_5abdc99432aa_u425,"侯友宜: 所有的共识都在这个宪法底下嘛,不是你说的啦。",claim,"是你们污名化把九二共识变成一国两制啦,这是你们一而再,再而三的洗脑嘛,我们主张的九二共识是在中华民国宪法。","你现在说的,就是我刚才说的一样,你也是支持台独。","[{""name"": ""侯友宜"", ""party"": ""KMT""}]",[],FALSE,,000cd31e2e7aeb96a5db9e92a27c754a,FALSE,meeting2,,"侯友宜: 所有的共识都在这个宪法底下嘛,不是你说的啦。",TRUE,cooccur: actor×institution,TRUE,gate: actor×inst,FALSE,KEEP,0.654803872,,,FALSE,KEEP,02_conference_datasets/meeting2_units.csv,3,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,02_conference_datasets/Debate_President_units.csv,总统辩论,3,总统辩论_e76e2f37b3f6_u425
_3df8e9be27c1,_3df8e9be27c1_u015,"針對民進黨總統候選人賴清德老家爭議,柯文哲說,民眾黨不分區立委參選人黃國昌資料都準備好了,「一開始大家說賴清德老家是違建,他就說我爸爸是礦工,小時候家裡很窮,颱風來屋頂會飛掉。」卻被發現違建是2003年,當時賴清德已在當立委。",claim,"柯文哲指出,現在大家忙選舉,但選後一定會帶著民眾黨立委拜訪韓國瑜,「大家有共同理念,我絕對是支持他(韓國瑜)的。」 另外,柯文哲也提及,郭台銘這次沒選舉,相信郭粉也很失落,但郭董還是台灣社會很重要的資產;","柯文哲最後呼籲支持者每天跟長輩講話,跟爸爸、媽媽、阿公、阿嬤等,「2024台灣的選擇柯文哲,這個人不會貪污、留債,他保證如果當總統,65歲以上健保費補助。」(編輯:郭諭儒)1121223 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 賴清德環島拼圖 提「五大建設、一個支持」發展台中 侯友宜:走台灣的中間路線 跟世界做朋友 賴清德環島拼字 提5大建設打造「台灣新矽谷」 網傳投票箱夾層藏票 查核中心:錯誤訊息 黃珊珊黃國昌扛立院攻防 備戰2026肩負白營母雞重擔 黃捷將成最年輕立委 與韓國瑜當同事直呼冤家路窄 不分區藍綠各13席白8席 韓國瑜黃國昌重返立院 2024/01/12 23:38 2023/12/23 22:45 2023/12/23 22:25 2023/12/23 22:07 2023/12/23 19:51 2023/12/23 19:02","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,0012e0b80233966fb7f2b1c7e8b56e62,False,03_Lai_chinatimes_news,2023-12-23 22:07:00,"針對民進黨總統候選人賴清德老家爭議,柯文哲說,民眾黨不分區立委參選人黃國昌資料都準備好了,「一開始大家說賴清德老家是違建,他就說我爸爸是礦工,小時候家裡很窮,颱風來屋頂會飛掉。」卻被發現違建是2003年,當時賴清德已在當立委。",True,cooccur: actor×institution,True,gate: actor×inst,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_3df8e9be27c1_u015
_657b001c9744,_657b001c9744_u003,"台灣大選前國台辦最後記者會 賴蕭侯趙成焦點 趙少康表示,和平不等於統一,有利也不等於統一,「不是只有統一才有利」,以兩岸目前的情況,能夠恢復溝通、談話,就已經是很大的突破了,現在應該先回到前總統馬英九時期;",claim,"媒體詢問,趙少康日前說當選任內絕對不推動統一談判,中國大陸國台辦今天說,希望島內有關人士多說有利於兩岸關係和平發展與台海和平穩定的話。","兩岸現在的制度差很遠,根本沒有條件談統一,在他任內絕對不會、也不可能談。","[{""name"": ""趙少康"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",False,,0015f7f5ea190c35a09644ef76e0bb71,False,02_Ke_chinatimes_news,2023-12-27 17:32:00,"台灣大選前國台辦最後記者會 賴蕭侯趙成焦點 趙少康表示,和平不等於統一,有利也不等於統一,「不是只有統一才有利」,以兩岸目前的情況,能夠恢復溝通、談話,就已經是很大的突破了,現在應該先回到前總統馬英九時期;",True,cooccur: actor×institution,True,gate: taiwanicity=3,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_657b001c9744_u003
_657b001c9744,_657b001c9744_u003,"台灣大選前國台辦最後記者會 賴蕭侯趙成焦點 趙少康表示,和平不等於統一,有利也不等於統一,「不是只有統一才有利」,以兩岸目前的情況,能夠恢復溝通、談話,就已經是很大的突破了,現在應該先回到前總統馬英九時期;",claim,"媒體詢問,趙少康日前說當選任內絕對不推動統一談判,中國大陸國台辦今天說,希望島內有關人士多說有利於兩岸關係和平發展與台海和平穩定的話。","兩岸現在的制度差很遠,根本沒有條件談統一,在他任內絕對不會、也不可能談。","[{""name"": ""趙少康"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",False,,0015f7f5ea190c35a09644ef76e0bb71,False,03_Lai_chinatimes_news,2023-12-27 17:32:00,"台灣大選前國台辦最後記者會 賴蕭侯趙成焦點 趙少康表示,和平不等於統一,有利也不等於統一,「不是只有統一才有利」,以兩岸目前的情況,能夠恢復溝通、談話,就已經是很大的突破了,現在應該先回到前總統馬英九時期;",True,cooccur: actor×institution,True,gate: taiwanicity=3,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_657b001c9744_u003
_22914d91d8ce,_22914d91d8ce_u005,"被詢及賴清德的青年支持度拉不上來,是否會做些建議,鄭麗君表示,做為民間智庫平台希望多討論願景,不談選舉,就她了解,賴清德對於國家的未來、台灣的願景有許多深入思考與想法,也與青年互動走入校園真誠對話。",claim,"他說,賴清德已經累積非常完整且豐富的歷練,對於兩岸、國政都有很好的主張,相信在未來競爭的過程,賴清德的支持度會不斷提高,他對此很有信心, 鄭麗君受訪時表示,今天舉辦論壇是希望擴大社會對話,期待在台灣每個關鍵時刻,大家都能夠一起深度思辨,凝聚台灣社會的願景,這是現階段最想做的事情,已多次向外界報告目前沒有參與選舉的想法,黨內也沒有這樣的討論。",(編輯:蘇龍麒)1120527 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 文總攜手誠品生活 號召日本哈台族TAIWAN PLUS見 賴清德副手?,"[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,00173ba00c06ca6105fbc04e288fa65b,False,03_Lai_chinatimes_news,2023-05-27 12:02:00,"被詢及賴清德的青年支持度拉不上來,是否會做些建議,鄭麗君表示,做為民間智庫平台希望多討論願景,不談選舉,就她了解,賴清德對於國家的未來、台灣的願景有許多深入思考與想法,也與青年互動走入校園真誠對話。",True,cooccur: actor×institution,True,gate: actor×inst,False,KEEP,0.6055017709732056,,,False,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_22914d91d8ce_u005
_c46eec77a48f,_c46eec77a48f_u013,"他也說,若擔任總統,目標就是守護台灣、促進民主和平繁榮,在與蔡總統相同的民主道路上,推動台灣希望工程,持續壯大台灣,打造為民主和平、創新繁榮、公益永續的台灣,讓子孫在台灣安居樂業,年輕人看見希望、壯年人實現夢想,老年人獲得幸福,弱勢者得到照顧。",claim,"至於是否覺得自己勝過其他總統參選人,賴副總統說,這應該要由民眾做決定,但呼籲民眾思考時,應考量哪一個政黨提出的政見方向,比較切合目前台灣未來發展、蔡總統執政成績,以及他從政20餘年,已歷經許多考驗,並有完整的國政藍圖。",(編輯:林克倫)1120819 侯友宜:若當選總統 改變兩岸現狀讓台灣安全 柯文哲提4聲明回應重啟服貿 拋兩岸經貿法制化 郭台銘投書華盛頓郵報:兩岸應在一中框架下直接談判 美日韓領袖峰會重申台海和平重要性 建立三邊熱線因應區域危機 麻生太郎:嚇阻才能避免台海戰爭 台灣須向對手表達動武意志 經濟學人:台海衝突影響經濟甚於俄烏戰爭 日菲韓風險最高 打造健康台灣 賴清德:活多久就健康多久 賴清德談檢討都更 達進步性要求給予更高容積獎勵 加拿大台灣同鄉會60週年 蔡總統:讓世界看見台灣 台日水果夏祭登場 蔡總統用行動支持優質果農,[],[],False,,0017980ce8025d2dbb81c71b2656e435,False,03_Lai_chinatimes_news,2023-08-19 23:30:00,"他也說,若擔任總統,目標就是守護台灣、促進民主和平繁榮,在與蔡總統相同的民主道路上,推動台灣希望工程,持續壯大台灣,打造為民主和平、創新繁榮、公益永續的台灣,讓子孫在台灣安居樂業,年輕人看見希望、壯年人實現夢想,老年人獲得幸福,弱勢者得到照顧。",True,institution_only,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/02_Ke_chinatimes_news_units.csv,02_Ke_chinatimes_news,1,_c46eec77a48f_u013
_104856f2f8d6,_104856f2f8d6_u010,"由於中選會規定,11月24日前各黨要提出不分區立委名單,傳許多國民黨立委認為王金平呼聲高,是否有意願再當立法院長?",claim,"王金平今天上午參加第二屆「中道高峰會」,會前接受媒體聯訪時被問及藍白合,他對於藍白共識「總統要到立法院做國情報告」這點表示支持,認為立法院若有要求,總統可以來報告,但沒有規範一定要接受或主動定期報告,這要看憲法和相關法律怎麼規定。","王金平揮揮手說:「沒有,不扯這問題,也沒人跟我講這件事。」 前立法院長王金平今天受訪被問到,藍白合後整合郭台銘的「機緣」到了嗎?","[{""name"": ""國民黨"", ""party"": ""KMT""}]","[""立法院|institution""]",False,,001a76456b69e2a11851dc369ff77bb5,False,03_Lai_ltn_news,2023-10-31 11:37:02,"由於中選會規定,11月24日前各黨要提出不分區立委名單,傳許多國民黨立委認為王金平呼聲高,是否有意願再當立法院長?",True,cooccur: actor×institution,True,gate: taiwanicity=2,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/03_Lai_ltn_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_ltn_news_units.csv,01_Ho_ltn_news,1,_104856f2f8d6_u010
_efd038aef160,_efd038aef160_u000,"(2024/1/5 11:58 更新) (中央社記者賴于榛24日電)2024總統與立委選舉登記24日截止,根據中央選舉委員會統計,區域立委選舉部分,有315位參選人完成登記,7人以上混戰區域達7個;",context,,"不分區方面,共有16個政黨提出178位立委參選人名單。",[],[],False,,00290282a44c527f10b4116030ddd479,False,02_Ke_chinatimes_news,2023-11-24 23:42:00,"2024立委選舉激戰區一次看 16政黨搶34席不分區 2023/11/24 23:42 (2024/1/5 11:58 更新) (中央社記者賴于榛24日電)2024總統與立委選舉登記24日截止,根據中央選舉委員會統計,區域立委選舉部分,有315位參選人完成登記,7人以上混戰區域達7個;",True,institution_only,True,gate: core_election,True,KEEP,1.0,KEEP,1.0,True,KEEP,01_news_datasets/02_Ke_chinatimes_news_units.csv,1,,cross_corpus_dedup_lower_priority_or_tiebreak_file_order,01_news_datasets/01_Ho_chinatimes_news_units.csv,01_Ho_chinatimes_news,1,_efd038aef160_u000
