slice,key,key_normalized,n,top_L1,top_L1_share,max_L2_row_prev
candidate,Unknown,Unknown,1054,L1-06,0.36717267552182165,0.27419354838709675
candidate,侯友宜,侯友宜,6083,L1-06,0.35870458655268783,0.28522110800591816
candidate,柯文哲,柯文哲,8562,L1-06,0.39523475823405746,0.2429338939500117
candidate,赖清德,赖清德,6861,L1-06,0.3310013117621338,0.2721177670893456
source_raw,01_Ho_chinatimes_news,01_Ho_chinatimes_news,3395,L1-06,0.3558173784977909,0.317820324005891
source_raw,01_Ho_ltn_news,01_Ho_ltn_news,1924,L1-06,0.37214137214137216,0.2915800415800416
source_raw,01_Ho_tvbs_news.csv,01_Ho_tvbs_news,687,L1-07,0.38282387190684136,0.11353711790393013
source_raw,01_Hou_X_datasets,01_Hou_X_datasets,77,L1-03,0.5194805194805194,0.45454545454545453
source_raw,02_Ke_X_datasets,02_Ke_X_datasets,28,L1-03,0.42857142857142855,0.6785714285714286
source_raw,02_Ke_chinatimes_news,02_Ke_chinatimes_news,6385,L1-06,0.4216131558339859,0.2745497259201253
source_raw,02_Ke_ltn_news,02_Ke_ltn_news,1483,L1-06,0.3715441672285907,0.26567768037761297
source_raw,02_Ke_tvbs_news,02_Ke_tvbs_news,557,L1-07,0.5816876122082585,0.10053859964093358
source_raw,03_Lai_X_datasets,03_Lai_X_datasets,43,L1-03,0.6046511627906976,0.5813953488372093
source_raw,03_Lai_chinatimes_news,03_Lai_chinatimes_news,3569,L1-06,0.34407397029980386,0.3239002521714766
source_raw,03_Lai_ltn_news,03_Lai_ltn_news,2801,L1-06,0.3445198143520171,0.23420207068903962
source_raw,03_Lai_tvbs_news,03_Lai_tvbs_news,448,L1-07,0.3950892857142857,0.12723214285714285
source_raw,meeting1,meeting1,178,L1-01,0.2752808988764045,0.38764044943820225
source_raw,副总统辩论,副总统辩论,382,L1-06,0.31413612565445026,0.2879581151832461
source_raw,总统辩论,总统辩论,357,L1-06,0.3753501400560224,0.2689075630252101
source_raw,柯文哲专访,柯文哲专访,109,L1-06,0.44954128440366975,0.1559633027522936
source_raw,萧美琴专访,萧美琴专访,116,L1-06,0.603448275862069,0.1724137931034483
source_type,conference,conference,1163,L1-06,0.3748925193465176,0.25709372312983664
source_type,news,news,21249,L1-06,0.36547602240105415,0.26387124099957643
source_type,social_media,social_media,148,L1-03,0.527027027027027,0.46621621621621623
period,2023-01,2023-01,268,L1-06,0.47388059701492535,0.22388059701492538
period,2023-02,2023-02,488,L1-06,0.3790983606557377,0.2459016393442623
period,2023-03,2023-03,753,L1-06,0.39575033200531207,0.21912350597609562
period,2023-04,2023-04,777,L1-03,0.3307593307593308,0.2676962676962677
period,2023-05,2023-05,1261,L1-06,0.4004758128469469,0.22839016653449642
period,2023-06,2023-06,1189,L1-06,0.3456686291000841,0.22035323801513879
period,2023-07,2023-07,1364,L1-06,0.3196480938416422,0.3159824046920821
period,2023-08,2023-08,1644,L1-03,0.32116788321167883,0.26824817518248173
period,2023-09,2023-09,1274,L1-06,0.37755102040816324,0.2629513343799058
period,2023-10,2023-10,1363,L1-06,0.37784299339691857,0.27292736610418195
period,2023-11,2023-11,2646,L1-06,0.4402872260015117,0.24452003023431595
period,2023-12,2023-12,3828,L1-06,0.33646812957157785,0.2839602925809822
period,2024-01,2024-01,2605,L1-06,0.3470249520153551,0.3017274472168906
period,nan,nan,3087,L1-06,0.37317784256559766,0.2633624878522838
