period,candidate,L1,share_smooth,period_end
2023-01-09/2023-01-15,柯文哲,L1-01,0.0,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-03,0.4074074074074074,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-06,0.25925925925925924,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-07,0.14814814814814814,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-01,0.0,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-03,0.0,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-06,0.9,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-07,0.1,2023-01-09/2023-01-15
2023-01-16/2023-01-22,侯友宜,L1-01,0.0,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-03,0.0,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-06,0.0,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-07,0.7527777777777778,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-01,0.0,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-03,0.1431084656084656,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-06,0.2061157002483533,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-07,0.09833711262282689,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-01,0.10300379892216627,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-03,0.21522465629608487,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-06,0.41245708373259393,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-07,0.089382352341536,2023-01-16/2023-01-22
2023-01-23/2023-01-29,侯友宜,L1-01,0.0,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-03,0.12244897959183673,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-06,0.061224489795918366,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-07,0.14285714285714285,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-01,0.006802721088435374,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-03,0.03527696793002916,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-06,0.21875607385811469,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-07,0.09562682215743441,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-01,0.07235621521335808,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-03,0.2377455877455877,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-06,0.27158080015222874,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-07,0.10858903001760145,2023-01-23/2023-01-29
2023-01-30/2023-02-05,侯友宜,L1-01,0.0,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-03,0.02040816326530612,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-06,0.18367346938775508,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L1-07,0.0,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-01,0.013605442176870748,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-03,0.044314868804664724,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-06,0.3945578231292517,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L1-07,0.052672497570456764,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-01,0.04237123420796891,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-03,0.21372505045974435,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-06,0.32226956716752636,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L1-07,0.10952380952380954,2023-01-30/2023-02-05
2023-02-06/2023-02-12,侯友宜,L1-01,0.0,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-03,0.0,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-06,0.04081632653061224,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L1-07,0.16326530612244897,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-01,0.0,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-03,0.11632653061224489,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-06,0.37551020408163266,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L1-07,0.09387755102040816,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-01,0.12183047886592462,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-03,0.36677840598356176,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-06,0.1943075900111346,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L1-07,0.06054421768707484,2023-02-06/2023-02-12
2023-02-13/2023-02-19,侯友宜,L1-01,0.04081632653061224,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-03,0.0,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-06,0.0,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L1-07,0.12244897959183673,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-01,0.011661807580174927,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-03,0.18243035309361838,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-06,0.20616294136702298,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L1-07,0.20790816326530612,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-01,0.2061830400176265,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-03,0.179336390426616,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-06,0.40344404968465114,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L1-07,0.04285714285714286,2023-02-13/2023-02-19
2023-02-20/2023-02-26,侯友宜,L1-01,0.1020408163265306,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-03,0.0,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-06,0.0,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L1-07,0.061224489795918366,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-01,0.008746355685131196,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-03,0.20357952704891477,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-06,0.22779802397149337,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L1-07,0.18363702623906705,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-01,0.060103490017560914,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-03,0.19742383168806368,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-06,0.3736083405793395,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L1-07,0.0472610096670247,2023-02-20/2023-02-26
2023-02-27/2023-03-05,侯友宜,L1-01,0.0,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-03,0.017857142857142856,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L1-06,0.19132653061224492,2023-02-27/2023-03-05
