period,candidate,L2,share_smooth,period_end
2023-01-09/2023-01-15,柯文哲,L2-05,0.2222222222222222,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L2-07,0.4444444444444444,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-05,0.15,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L2-07,0.05,2023-01-09/2023-01-15
2023-01-16/2023-01-22,侯友宜,L2-05,0.0,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L2-07,0.10277777777777779,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L2-05,0.20177437641723356,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L2-07,0.1902445740200842,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L2-05,0.2704672878142266,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L2-07,0.12235235852582792,2023-01-16/2023-01-22
2023-01-23/2023-01-29,侯友宜,L2-05,0.12244897959183673,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L2-07,0.2040816326530612,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L2-05,0.10272108843537416,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L2-07,0.035568513119533525,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L2-05,0.16487560058988632,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L2-07,0.05710479996194281,2023-01-23/2023-01-29
2023-01-30/2023-02-05,侯友宜,L2-05,0.02040816326530612,2023-01-30/2023-02-05
2023-01-30/2023-02-05,侯友宜,L2-07,0.12244897959183673,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L2-05,0.07687074829931974,2023-01-30/2023-02-05
2023-01-30/2023-02-05,柯文哲,L2-07,0.0750242954324587,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L2-05,0.132892277790237,2023-01-30/2023-02-05
2023-01-30/2023-02-05,赖清德,L2-07,0.10505344995140913,2023-01-30/2023-02-05
2023-02-06/2023-02-12,侯友宜,L2-05,0.0,2023-02-06/2023-02-12
2023-02-06/2023-02-12,侯友宜,L2-07,0.08163265306122448,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L2-05,0.2306122448979592,2023-02-06/2023-02-12
2023-02-06/2023-02-12,柯文哲,L2-07,0.0326530612244898,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L2-05,0.3011204096059091,2023-02-06/2023-02-12
2023-02-06/2023-02-12,赖清德,L2-07,0.15818201967503792,2023-02-06/2023-02-12
2023-02-13/2023-02-19,侯友宜,L2-05,0.0,2023-02-13/2023-02-19
2023-02-13/2023-02-19,侯友宜,L2-07,0.14285714285714285,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L2-05,0.09290978296080336,2023-02-13/2023-02-19
2023-02-13/2023-02-19,柯文哲,L2-07,0.04498704243602203,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L2-05,0.1644160440347336,2023-02-13/2023-02-19
2023-02-13/2023-02-19,赖清德,L2-07,0.10062784512301161,2023-02-13/2023-02-19
2023-02-20/2023-02-26,侯友宜,L2-05,0.02040816326530612,2023-02-20/2023-02-26
2023-02-20/2023-02-26,侯友宜,L2-07,0.14285714285714285,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L2-05,0.08727324263038548,2023-02-20/2023-02-26
2023-02-20/2023-02-26,柯文哲,L2-07,0.10066002591512795,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L2-05,0.18260361788825805,2023-02-20/2023-02-26
2023-02-20/2023-02-26,赖清德,L2-07,0.1307861490460846,2023-02-20/2023-02-26
2023-02-27/2023-03-05,侯友宜,L2-05,0.2423469387755102,2023-02-27/2023-03-05
2023-02-27/2023-03-05,侯友宜,L2-07,0.22193877551020408,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L2-05,0.1721773124834349,2023-02-27/2023-03-05
2023-02-27/2023-03-05,柯文哲,L2-07,0.17242910151073418,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L2-05,0.18005698520009508,2023-02-27/2023-03-05
2023-02-27/2023-03-05,赖清德,L2-07,0.1396002009826487,2023-02-27/2023-03-05
