period,candidate,L1,share_smooth,period_start,period_end
2023-01-09/2023-01-15,柯文哲,L1-01,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-02,0.07407407407407407,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-03,0.4074074074074074,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-04,0.1111111111111111,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-05,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-06,0.25925925925925924,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,柯文哲,L1-07,0.14814814814814814,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-01,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-02,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-03,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-04,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-05,0.0,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-06,0.9,2023-01-09,2023-01-09/2023-01-15
2023-01-09/2023-01-15,赖清德,L1-07,0.1,2023-01-09,2023-01-09/2023-01-15
2023-01-16/2023-01-22,侯友宜,L1-01,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-02,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-03,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-04,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-05,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-06,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,侯友宜,L1-07,0.7527777777777778,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-01,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-02,0.02974678760393046,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-03,0.1431084656084656,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-04,0.15722384191771946,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-05,0.05628441852931648,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-06,0.2061157002483533,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,柯文哲,L1-07,0.09833711262282689,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-01,0.10300379892216627,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-02,0.03687859759288331,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-03,0.21522465629608487,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-04,0.12264534784942949,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-05,0.0,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-06,0.41245708373259393,2023-01-16,2023-01-16/2023-01-22
2023-01-16/2023-01-22,赖清德,L1-07,0.089382352341536,2023-01-16,2023-01-16/2023-01-22
2023-01-23/2023-01-29,侯友宜,L1-01,0.0,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-02,0.0,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-03,0.12244897959183673,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-04,0.0,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-05,0.0,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-06,0.061224489795918366,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,侯友宜,L1-07,0.14285714285714285,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-01,0.006802721088435374,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-02,0.009912536443148687,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-03,0.03527696793002916,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-04,0.03790087463556851,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-05,0.024295432458697763,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-06,0.21875607385811469,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,柯文哲,L1-07,0.09562682215743441,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-01,0.07235621521335808,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-02,0.016875981161695447,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-03,0.2377455877455877,2023-01-23,2023-01-23/2023-01-29
2023-01-23/2023-01-29,赖清德,L1-04,0.08877075305646734,2023-01-23,2023-01-23/2023-01-29
