candidate,L2,n_nonempty_l2_units,n_with_label,prevalence_pct
Lai (DPP),L2-01,4368,1371,31.4
Lai (DPP),L2-02,4368,241,5.5
Lai (DPP),L2-03,4368,331,7.6
Lai (DPP),L2-04,4368,171,3.9
Lai (DPP),L2-05,4368,1368,31.3
Lai (DPP),L2-06,4368,1469,33.6
Lai (DPP),L2-07,4368,1867,42.7
Lai (DPP),L2-08,4368,577,13.2
Hou (KMT),L2-01,3632,917,25.2
Hou (KMT),L2-02,3632,277,7.6
Hou (KMT),L2-03,3632,194,5.3
Hou (KMT),L2-04,3632,136,3.7
Hou (KMT),L2-05,3632,1206,33.2
Hou (KMT),L2-06,3632,1266,34.9
Hou (KMT),L2-07,3632,1735,47.8
Hou (KMT),L2-08,3632,350,9.6
Ko (TPP),L2-01,4820,1351,28.0
Ko (TPP),L2-02,4820,346,7.2
Ko (TPP),L2-03,4820,393,8.2
Ko (TPP),L2-04,4820,174,3.6
Ko (TPP),L2-05,4820,1425,29.6
Ko (TPP),L2-06,4820,1583,32.8
Ko (TPP),L2-07,4820,2080,43.2
Ko (TPP),L2-08,4820,576,12.0
