pair,n_ab,n_a,n_b,n_windows,npmi,lo,hi,ci_width,sig,n_docs_with_pair,top1_doc_share,top5_doc_share,eff_n_docs,window
04-06,187,743,2288,20901,0.17651679149440955,0.1420051780461602,0.20906982109564975,0.06706464304948956,True,153,0.016042780748663103,0.07486631016042782,132.96197718631183,n1
04-07,267,743,5967,20901,0.05277277676801971,0.02934528587665971,0.07722316540608201,0.0478778795294223,True,221,0.018726591760299626,0.07116104868913858,182.32480818414322,n1
04-08,175,743,1353,20901,0.27004509546987093,0.229351026357397,0.3109661415585312,0.08161511520113421,True,139,0.02857142857142857,0.10857142857142857,108.98576512455517,n1
06-07,838,2288,5967,20901,0.07745525151218313,0.060927642292745166,0.09480099755769339,0.033873355264948224,True,566,0.015513126491646777,0.050119331742243436,374.7299893276415,n1
06-08,228,2288,1353,20901,0.09547702549843963,0.0618074856645146,0.12527712102123928,0.06346963535672467,True,187,0.017543859649122806,0.07017543859649122,157.52727272727267,n1
07-08,777,5967,1353,20901,0.21229941524677323,0.1941827378952811,0.23212824029914114,0.03794550240386005,True,505,0.015444015444015444,0.05148005148005148,342.05609065155807,n1
04-06,628,1482,3970,15481,0.15671344636270607,0.12006257041035019,0.19181173987446232,0.07174916946411213,True,237,0.01592356687898089,0.06528662420382166,179.91970802919707,n3
04-07,951,1482,8406,15481,0.05987193051406993,0.03612822110352697,0.08143175168974738,0.045303530586220414,True,369,0.00946372239747634,0.04206098843322818,280.7826761875194,n3
04-08,528,1482,2607,15481,0.2218180496525587,0.18137927468532286,0.2567193584812278,0.07534008379590493,True,210,0.013257575757575758,0.06439393939393939,163.4138335287221,n3
06-07,2602,3970,8406,15481,0.10552263954505817,0.08682253762265348,0.12335313944511317,0.03653060182245969,True,805,0.028823981552651805,0.06456571867794005,359.974691620587,n3
06-08,932,3970,2607,15481,0.11822794437666723,0.09012608245018237,0.14724550943773793,0.05711942698755555,True,362,0.011802575107296138,0.05150214592274678,257.44635447540014,n3
07-08,1961,8406,2607,15481,0.1577430169308814,0.13798706912433148,0.17636874763883972,0.038381678514508244,True,633,0.011218765935747067,0.04028556858745538,427.13773186715537,n3
04-06,805,1580,3985,11392,0.1419098563798921,0.10237238081131472,0.18396019619293402,0.0815878153816193,True,254,0.02236024844720497,0.08695652173913043,158.71295615968654,n5
04-07,1154,1580,7333,11392,0.055176322385204,0.034157408685098756,0.08091545554785429,0.04675804686275553,True,381,0.012998266897746967,0.05459272097053726,258.98794243485025,n5
04-08,650,1580,2721,11392,0.18986109560937622,0.149490325221453,0.22989579314459352,0.08040546792314052,True,232,0.015384615384615385,0.06615384615384616,166.86413902053712,n5
06-07,3024,3985,7333,11392,0.12407898518059456,0.1002174843760019,0.14720637650007395,0.04698889212407205,True,832,0.04298941798941799,0.08498677248677247,250.3854115327749,n5
06-08,1293,3985,2721,11392,0.14078458129608593,0.10541969530663009,0.17673790104207088,0.07131820573544079,True,397,0.01237432327919567,0.05645784996133024,256.93084370677735,n5
07-08,2251,7333,2721,11392,0.15473083855020228,0.13357532020059257,0.17517365723165837,0.0415983370310658,True,651,0.011550422034651266,0.04842292314526876,383.9509737061453,n5
04-06,270,469,1065,3380,0.2384923818549204,0.20130187942458352,0.27560039963439636,0.07429852020981284,True,270,0.003703703703703704,0.018518518518518517,270.0,ndocument
04-07,387,469,1958,3380,0.163239692830948,0.1387967469600444,0.18826241620063733,0.049465669240592924,True,387,0.002583979328165375,0.012919896640826874,387.0,ndocument
04-08,246,469,761,3380,0.32275944540618645,0.2900523136592488,0.35698985276834083,0.06693753910909206,True,246,0.0040650406504065045,0.020325203252032523,245.99999999999991,ndocument
06-07,853,1065,1958,3380,0.2353027487467519,0.21176945133921168,0.26197512063562806,0.05020566929641637,True,853,0.0011723329425556857,0.005861664712778429,853.0000000000002,ndocument
06-08,422,1065,761,3380,0.2716840772714785,0.23848637018051244,0.30808683653725677,0.06960046635674433,True,422,0.002369668246445498,0.011848341232227489,421.9999999999999,ndocument
07-08,660,1958,761,3380,0.24706797370083755,0.22398540621599253,0.27087825113900865,0.046892844923016125,True,660,0.0015151515151515152,0.007575757575757576,659.9999999999998,ndocument
