spec,lag,pair,obs,null,ratio,z,n_a_first,n_b_first,dir_skew
DS,same,04-06,187,111.51833333333333,1.6768543288846378,9.61994080502116,195,183,0.031746031746031744
DS,same,04-07,267,249.35166666666666,1.070776881379043,1.7749548648157574,430,424,0.00702576112412178
DS,same,04-08,175,108.44166666666666,1.6137708445400754,9.488801298245875,182,163,0.05507246376811594
DS,same,06-07,838,789.01,1.062090467801422,2.992969943257305,1371,1268,0.03902993558165972
DS,same,06-08,228,199.63333333333333,1.1420938387042912,2.744229446259811,352,321,0.04606240713224369
DS,same,07-08,777,557.6283333333333,1.3934012200480008,16.225813632317738,893,941,-0.026172300981461286
DS,lag1,04-06,217,192.49166666666667,1.1273215290705225,2.447037887063575,195,183,0.031746031746031744
DS,lag1,04-07,449,430.49833333333333,1.0429773247283187,1.3819196437018515,430,424,0.00702576112412178
DS,lag1,04-08,184,184.86333333333334,0.99532988333724,-0.08834372557242598,182,163,0.05507246376811594
DS,lag1,06-07,1411,1379.39,1.0229159266052386,1.4480176044159327,1371,1268,0.03902993558165972
DS,lag1,06-08,346,349.86833333333334,0.9889434596824519,-0.27724316040440644,352,321,0.04606240713224369
DS,lag1,07-08,988,973.6883333333334,1.0146984062319735,0.7398129539905792,893,941,-0.026172300981461286
DS,lag2,04-06,161,162.98166666666665,0.9878411682295556,-0.19738918882330442,195,183,0.031746031746031744
DS,lag2,04-07,405,364.92333333333335,1.1098221544251303,2.914228776503661,430,424,0.00702576112412178
DS,lag2,04-08,161,153.20333333333335,1.050890972781271,0.8794807176760508,182,163,0.05507246376811594
DS,lag2,06-07,1228,1187.4466666666667,1.0341517092697496,1.8355424573921995,1371,1268,0.03902993558165972
DS,lag2,06-08,327,302.26166666666666,1.0818440975534442,1.9793398322101456,352,321,0.04606240713224369
DS,lag2,07-08,846,839.1133333333333,1.0082070757227868,0.3760720894699229,893,941,-0.026172300981461286
GPT,same,04-06,81,95.58166666666666,0.8474428499189175,-2.2361767055100774,157,147,0.03289473684210526
GPT,same,04-07,110,126.565,0.8691186346936357,-2.3885660476653103,197,195,0.00510204081632653
GPT,same,04-08,110,78.72833333333334,1.3972098143404534,5.725556937597313,131,124,0.027450980392156862
GPT,same,06-07,1578,1397.615,1.1290663022363097,8.403998987881113,2239,2319,-0.017551557700745943
GPT,same,06-08,238,275.52666666666664,0.8638002371216338,-3.156271311257798,472,462,0.010706638115631691
GPT,same,07-08,581,499.52666666666664,1.163101069011998,6.804387126702412,821,807,0.0085995085995086
GPT,lag1,04-06,159,159.22666666666666,0.9985764528554681,-0.026413549367331975,157,147,0.03289473684210526
GPT,lag1,04-07,215,213.33333333333334,1.0078125,0.18201592791104276,197,195,0.00510204081632653
GPT,lag1,04-08,141,135.45,1.0409745293466224,0.8091556055254566,131,124,0.027450980392156862
GPT,lag1,06-07,2476,2400.2233333333334,1.0315706732845693,2.77058254025123,2239,2319,-0.017551557700745943
GPT,lag1,06-08,498,482.93333333333334,1.0311982330204308,0.9823374727743945,472,462,0.010706638115631691
GPT,lag1,07-08,885,868.97,1.0184471270584714,0.9266445160600603,821,807,0.0085995085995086
GPT,lag2,04-06,145,127.465,1.1375671753030243,2.1587023995435253,157,147,0.03289473684210526
GPT,lag2,04-07,177,175.94333333333333,1.006005721539132,0.12201189936334977,197,195,0.00510204081632653
GPT,lag2,04-08,114,112.78333333333333,1.010787645928772,0.1782916154875495,131,124,0.027450980392156862
GPT,lag2,06-07,2082,2036.5733333333333,1.02230544116588,1.6367710920098633,2239,2319,-0.017551557700745943
GPT,lag2,06-08,436,419.5566666666667,1.0391921631563477,1.1021710132520812,472,462,0.010706638115631691
GPT,lag2,07-08,743,745.5416666666666,0.9965908455820712,-0.1563107142899479,821,807,0.0085995085995086
