spec,lag,pair,obs,null,ratio,z,n_a_first,n_b_first,dir_skew
DS|doc,same,04-06,187,112.16,1.6672610556348075,9.723049835459527,195,183,0.031746031746031744
DS|doc,same,04-07,267,248.43,1.074749426397778,1.8484554442689418,430,424,0.00702576112412178
DS|doc,same,04-08,175,108.21333333333334,1.6171759487432231,9.543603840661874,182,163,0.05507246376811594
DS|doc,same,06-07,838,789.105,1.0619626032023621,2.9140331896445355,1371,1268,0.03902993558165972
DS|doc,same,06-08,228,199.26833333333335,1.1441858130995892,2.8969182104094915,352,321,0.04606240713224369
DS|doc,same,07-08,777,557.8133333333334,1.3929390955158236,15.140545017643177,893,941,-0.026172300981461286
GPT|doc,same,04-06,81,95.76833333333333,0.8457910582830094,-2.281034915838282,157,147,0.03289473684210526
GPT|doc,same,04-07,110,126.19166666666666,0.8716898897180215,-2.3556986925031356,197,195,0.00510204081632653
GPT|doc,same,04-08,110,78.95833333333333,1.3931398416886545,5.714998263688222,131,124,0.027450980392156862
GPT|doc,same,06-07,1578,1397.6633333333334,1.1290272573986582,8.336005992499695,2239,2319,-0.017551557700745943
GPT|doc,same,06-08,238,276.6016666666667,0.8604431161537951,-3.3064188387805813,472,462,0.010706638115631691
GPT|doc,same,07-08,581,499.59,1.1629536219700154,6.211822832290042,821,807,0.0085995085995086
DS|doc×len,same,04-06,187,136.985,1.3651129685732013,7.661219951134218,119,112,0.030303030303030304
DS|doc×len,same,04-07,267,270.80333333333334,0.9859553673637695,-0.4497060960475843,294,236,0.10943396226415095
DS|doc×len,same,04-08,175,137.27666666666667,1.2747978534832334,6.36169600024679,99,98,0.005076142131979695
DS|doc×len,same,06-07,838,840.2783333333333,0.9972885968339856,-0.17009441140057727,870,768,0.06227106227106227
DS|doc×len,same,06-08,228,218.55666666666667,1.043207711196181,1.0711506586917423,235,194,0.09557109557109557
DS|doc×len,same,07-08,777,655.0866666666667,1.1861026022002177,10.961024208367755,580,559,0.018437225636523266
GPT|doc×len,same,04-06,81,90.56666666666666,0.8943687891056312,-1.7016118946181884,95,81,0.07954545454545454
GPT|doc×len,same,04-07,110,125.87666666666667,0.873871249635887,-2.729476511829408,133,125,0.031007751937984496
GPT|doc×len,same,04-08,110,89.115,1.2343600965045167,4.710091617216666,76,67,0.06293706293706294
GPT|doc×len,same,06-07,1578,1484.2016666666666,1.0631978358736067,5.611672313326593,1341,1374,-0.012154696132596685
GPT|doc×len,same,06-08,238,280.8,0.8475783475783475,-4.292991803949189,305,275,0.05172413793103448
GPT|doc×len,same,07-08,581,551.5433333333333,1.0534077104851236,2.7927572541305157,527,470,0.05717151454363089
"DS|doc,去boiler",same,04-06,178,109.02333333333333,1.6326780199957196,8.929771064810582,179,167,0.03468208092485549
"DS|doc,去boiler",same,04-07,248,232.41,1.067079729787875,1.6328068388449521,401,371,0.038860103626943004
"DS|doc,去boiler",same,04-08,167,104.33333333333333,1.6006389776357828,9.007741428689647,169,148,0.06624605678233439
"DS|doc,去boiler",same,06-07,768,728.9483333333334,1.0535726125994298,2.4535679040208733,1261,1128,0.05567182921724571
"DS|doc,去boiler",same,06-08,216,191.62,1.1272309779772467,2.4820363658952913,326,301,0.03987240829346093
"DS|doc,去boiler",same,07-08,717,510.36833333333334,1.404867726249996,14.545431194982335,794,861,-0.0404833836858006
"GPT|doc,去boiler",same,04-06,76,90.28166666666667,0.8418098912662224,-2.314485316200493,151,131,0.07092198581560284
"GPT|doc,去boiler",same,04-07,104,118.66666666666667,0.8764044943820224,-2.247829616140676,183,172,0.030985915492957747
"GPT|doc,去boiler",same,04-08,104,75.53333333333333,1.3768755516328333,5.557612063927167,120,113,0.030042918454935622
"GPT|doc,去boiler",same,06-07,1436,1270.8783333333333,1.1299272025777447,8.358289378998261,2000,2044,-0.010880316518298714
"GPT|doc,去boiler",same,06-08,225,259.515,0.8670019074041964,-3.151303109752811,427,433,-0.0069767441860465115
"GPT|doc,去boiler",same,07-08,528,450.5316666666667,1.1719486976498137,6.419279286972548,723,726,-0.002070393374741201
DS|doc×L1,same,04-06,187,141.48,1.3217415889171615,6.886773421257155,111,98,0.06220095693779904
DS|doc×L1,same,04-07,267,267.96666666666664,0.9963925861425551,-0.12075251431976995,267,242,0.04911591355599214
DS|doc×L1,same,04-08,175,139.43,1.2551100910851323,5.792518421562,108,106,0.009345794392523364
DS|doc×L1,same,06-07,838,836.8016666666666,1.0014320398501437,0.08724209458930204,921,792,0.07530647985989491
DS|doc×L1,same,06-08,228,206.84833333333333,1.102256887091186,2.582794188229697,205,202,0.007371007371007371
DS|doc×L1,same,07-08,777,635.22,1.2231982620194577,12.858968936267463,584,640,-0.0457516339869281
