spec,lag,pair,obs,null,ratio,z,n_a_first,n_b_first,dir_skew
DS,same,01-02,180,84.685,2.125524000708508,15.351432945365483,127,134,-0.02681992337164751
DS,same,01-03,57,35.93,1.5864180350681882,5.306101902267104,64,49,0.13274336283185842
DS,same,01-05,360,299.53,1.2018829499549295,5.136949326463889,521,485,0.03578528827037773
DS,same,02-03,5,4.746666666666667,1.0533707865168538,0.1405694272448438,6,6,0.0
DS,same,02-05,138,94.97833333333334,1.4529629564637547,6.1702050996185696,157,136,0.07167235494880546
DS,same,03-05,27,27.19333333333333,0.9928904143172347,-0.05112004586822787,43,43,0.0
GPT,same,01-02,362,267.185,1.3548664782828377,9.493674846408544,439,445,-0.006787330316742082
GPT,same,01-03,443,321.7866666666667,1.376688489268252,11.331886915246622,559,536,0.021004566210045664
GPT,same,01-05,1098,975.21,1.1259113421724551,7.16627457586113,1649,1577,0.022318660880347178
GPT,same,02-03,42,47.20166666666667,0.8897990890152183,-0.9283266216860558,93,69,0.14814814814814814
GPT,same,02-05,368,306.17833333333334,1.201913917270436,6.0168918500483555,532,483,0.04827586206896552
GPT,same,03-05,290,245.095,1.1832146718619312,4.509071925170412,389,462,-0.08578143360752057
