pair,n_sentpairs,n_co,npmi_skip,lo,hi,sig,src
04-06,32149,378,0.21941072798065042,0.1816769075434437,0.2525926723382005,True,DS
04-07,32149,854,0.23429650566632793,0.20840072514961766,0.26011986341743265,True,DS
04-08,32149,345,0.306895199785188,0.2581944616481455,0.35232398779468055,True,DS
06-07,32149,2639,0.3485340025887105,0.3234218611159607,0.3749197588536152,True,DS
06-08,32149,673,0.24645047777585827,0.21675519611480643,0.2789481064297468,True,DS
07-08,32149,1834,0.3545980997905024,0.32624964044355365,0.38366231049602617,True,DS
04-06,32149,304,0.1429410119509353,0.10558818588368019,0.17776452951540872,True,GPT
04-07,32149,392,0.1595615961222262,0.12518758316360085,0.19496065908518548,True,GPT
04-08,32149,255,0.33333092486770277,0.26933852996966035,0.39025804386040225,True,GPT
06-07,32149,4558,0.45148565275669544,0.4264899020402113,0.47725867751298856,True,GPT
06-08,32149,934,0.17970727554315016,0.1523428681730415,0.20503093943079098,True,GPT
07-08,32149,1628,0.3265889382433948,0.2970663935575506,0.36002792467859474,True,GPT
