pattern,tier,n,pct,mean_len,mean_n_l2,p_06and07
cna_editor_tail,drop,0,0.0,,,
tvbs_promo,drop,0,0.0,,,
more_news,drop,0,0.0,,,
syndication,drop,0,0.0,,,
hotline,drop,0,0.0,,,
app_promo,drop,0,0.0,,,
gnews_follow,prefix,464,2.219989474187838,96.57543103448276,0.9137931034482759,0.07974137931034483
cna_ts_update,prefix,1372,6.5642792210899,123.40451895043732,0.5918367346938775,0.024052478134110787
ltn_upload_ts,prefix,45,0.2153007033156308,132.06666666666666,0.4888888888888889,0.0
正文,,19027,91.03392182192239,73.2397645451201,0.7218689231092658,0.04036369369842855
