pair,n_ab,n_a,n_b,n_windows,npmi,lo,hi,ci_width,sig,n_docs_with_pair,top1_doc_share,top5_doc_share,eff_n_docs,src,camp
04-06,628,1482,3970,15481,0.15671344636270607,0.12294586939819248,0.19123449785343263,0.06828862845524016,True,237,0.01592356687898089,0.06528662420382166,179.91970802919707,DS,ALL
04-07,951,1482,8406,15481,0.05987193051406993,0.036531735382424005,0.08276693256907346,0.04623519718664945,True,369,0.00946372239747634,0.04206098843322818,280.7826761875194,DS,ALL
04-08,528,1482,2607,15481,0.2218180496525587,0.18469287026079173,0.26060690159487826,0.07591403133408653,True,210,0.013257575757575758,0.06439393939393939,163.4138335287221,DS,ALL
06-07,2602,3970,8406,15481,0.10552263954505817,0.08507884161306908,0.12338309291868381,0.038304251305614725,True,805,0.028823981552651805,0.06456571867794005,359.974691620587,DS,ALL
06-08,932,3970,2607,15481,0.11822794437666723,0.08961243778908526,0.1478651404241857,0.058252702635100434,True,362,0.011802575107296138,0.05150214592274678,257.44635447540014,DS,ALL
07-08,1961,8406,2607,15481,0.1577430169308814,0.1395409378485144,0.1770469185764765,0.0375059807279621,True,633,0.011218765935747067,0.04028556858745538,427.13773186715537,DS,ALL
04-06,216,472,1607,5160,0.12127852887896488,0.06783759239348322,0.17701863406526985,0.10918104167178663,True,86,0.041666666666666664,0.16203703703703703,62.54155495978553,DS,DPP
04-07,315,472,2764,5160,0.07862730790700939,0.037117976248425257,0.11826935309139387,0.08115137684296861,True,128,0.02857142857142857,0.10793650793650794,97.37487733071637,DS,DPP
04-08,221,472,959,5160,0.2932791456583646,0.23363492374982003,0.35206601593258,0.11843109218275999,True,87,0.03167420814479638,0.1493212669683258,63.84444444444443,DS,DPP
06-07,997,1607,2764,5160,0.08934874785882152,0.05683218800568802,0.11906877351389811,0.06223658550821009,True,299,0.07522567703109329,0.15747241725175526,90.61983772449632,DS,DPP
06-08,379,1607,959,5160,0.09122880998209665,0.042837550017147216,0.14468644293436975,0.10184889291722253,True,143,0.023746701846965697,0.10817941952506595,102.52748037116348,DS,DPP
07-08,726,2764,959,5160,0.17638531075623573,0.14412502036521446,0.21039994395603398,0.06627492359081952,True,234,0.02203856749311295,0.08539944903581267,160.01092896174862,DS,DPP
04-06,164,423,954,4191,0.16431763397756702,0.08649959090454959,0.2298411325475668,0.1433415416430172,True,60,0.042682926829268296,0.18902439024390244,46.372413793103455,DS,KMT
04-07,281,423,2379,4191,0.058187211511243106,0.021788577953113872,0.09714590786491191,0.07535732991179804,True,103,0.028469750889679714,0.12099644128113879,77.3369245837414,DS,KMT
04-08,117,423,608,4191,0.18033192300469528,0.10558377989130606,0.251271136682578,0.14568735679127193,True,43,0.042735042735042736,0.20512820512820512,36.504,DS,KMT
06-07,687,954,2379,4191,0.13157209382845486,0.09320446869441731,0.1673127255963973,0.07410825690197997,True,224,0.027656477438136828,0.09024745269286755,144.82019024240563,DS,KMT
06-08,206,954,608,4191,0.1320133509717205,0.07268854032704941,0.18879358751288894,0.11610504718583953,True,83,0.04854368932038835,0.17475728155339804,57.972677595628426,DS,KMT
07-08,460,2379,608,4191,0.13003615555233555,0.09208930545791906,0.16726575945031932,0.07517645399240026,True,155,0.030434782608695653,0.09565217391304347,113.76344086021503,DS,KMT
04-06,248,587,1409,6130,0.18977845810072783,0.13848286594915585,0.24575025765126457,0.10726739170210872,True,91,0.04032258064516129,0.14112903225806453,71.02078521939956,DS,TPP
04-07,355,587,3263,6130,0.044804569471132406,0.00981509168999539,0.08105431448911092,0.07123922279911553,True,138,0.02535211267605634,0.09577464788732395,106.71041490262492,DS,TPP
04-08,190,587,1040,6130,0.18594906660816876,0.12633668722694213,0.24203457996489325,0.11569789273795111,True,80,0.03684210526315789,0.14210526315789473,63.78091872791521,DS,TPP
06-07,918,1409,3263,6130,0.10644336022551143,0.07563276515626013,0.1381152149389481,0.062482449782687965,True,282,0.020697167755991286,0.07516339869281044,184.00087336244542,DS,TPP
06-08,347,1409,1040,6130,0.12977435164109474,0.08087391613307184,0.17612538208110112,0.09525146594802929,True,136,0.03170028818443804,0.11815561959654178,97.02578565672843,DS,TPP
07-08,775,3263,1040,6130,0.16267921495744267,0.1311396443877551,0.19165951667470008,0.06051987228694497,True,244,0.02838709677419355,0.09161290322580645,156.04702520135098,DS,TPP
04-06,358,792,6735,15481,0.010158990924832228,-0.021145497234834536,0.040517874456333515,0.06166337169116805,False,159,0.025139664804469275,0.08659217877094971,121.5977229601518,GPT,ALL
04-07,411,792,7658,15481,0.01319851139550934,-0.013469054706001222,0.0414508199946661,0.05491987470066732,False,179,0.0170316301703163,0.08029197080291971,136.7781376518219,GPT,ALL
04-08,306,792,2530,15481,0.21928270040631806,0.17304436983745544,0.2584505896006378,0.08540621976318238,True,121,0.026143790849673203,0.11437908496732026,90.03461538461538,GPT,ALL
06-07,4105,6735,7658,15481,0.15726181336954032,0.13887499783193263,0.17812370733366714,0.03924870950173451,True,1229,0.01705237515225335,0.04531059683313032,611.6302493557401,GPT,ALL
06-08,1111,6735,2530,15481,0.0035442720751201035,-0.020984739508552477,0.026255228825426954,0.047239968333979435,False,425,0.012601260126012601,0.04590459045904591,292.701209390562,GPT,ALL
07-08,1609,7658,2530,15481,0.11097884781751106,0.08973794681134323,0.13165567042112028,0.04191772360977705,True,537,0.01305158483530143,0.03915475450590429,376.45499491057143,GPT,ALL
04-06,137,275,2388,5160,0.02030754543209238,-0.025206398203357173,0.06315840101185961,0.08836479921521678,False,66,0.0364963503649635,0.16058394160583941,53.16997167138811,GPT,DPP
04-07,162,275,2480,5160,0.05879735347255032,0.011434105935542465,0.10724500330219984,0.09581089736665738,True,76,0.043209876543209874,0.15432098765432098,58.58035714285716,GPT,DPP
04-08,142,275,958,5160,0.2847031817591654,0.20521119682294464,0.3507323342221655,0.14552113739922085,True,55,0.056338028169014086,0.23943661971830985,37.06617647058824,GPT,DPP
06-07,1328,2388,2480,5160,0.10749274498002866,0.07619683723484078,0.14270698396158676,0.06651014672674599,True,415,0.05271084337349398,0.12123493975903614,147.7533512064343,GPT,DPP
06-08,454,2388,958,5160,0.009762962298848906,-0.027202018483193896,0.047656830223507696,0.07485884870670159,False,175,0.019823788546255508,0.0947136563876652,119.41830822711466,GPT,DPP
07-08,645,2480,958,5160,0.16210148320360512,0.1271914557866321,0.19655119198076904,0.06935973619413693,True,219,0.018604651162790697,0.07286821705426356,159.0917782026769,GPT,DPP
04-06,96,212,1859,4191,0.0054715787435551675,-0.052216048083606255,0.057028922503359926,0.10924497058696618,False,45,0.052083333333333336,0.21875,36.28346456692913,GPT,KMT
04-07,89,212,2204,4191,-0.05848416898648042,-0.11727240815885027,-0.0039743581787585166,0.11329804998009176,True,41,0.06741573033707865,0.23595505617977527,32.330612244897964,GPT,KMT
04-08,72,212,579,4191,0.22132522158686246,0.13946006438793315,0.2987964213010519,0.15933635691311873,True,30,0.06944444444444445,0.2638888888888889,25.663366336633665,GPT,KMT
06-07,1207,1859,2204,4191,0.1693159298230417,0.12683885001158549,0.21215107504898104,0.08531222503739555,True,355,0.019055509527754765,0.06379453189726594,225.62319962831032,GPT,KMT
06-08,256,1859,579,4191,-0.0011534083517108363,-0.046830170920401454,0.04029869112570957,0.08712886204611103,False,98,0.0546875,0.16796875,64.1252446183953,GPT,KMT
07-08,347,2204,579,4191,0.05245619356076819,0.012073145250853096,0.0967269127005681,0.084653767449715,True,125,0.025936599423631124,0.10951008645533142,94.14308053166533,GPT,KMT
04-06,125,305,2488,6130,0.0024963893459495775,-0.05319073049161692,0.05955969730261395,0.11275042779423086,False,48,0.072,0.248,34.95525727069351,GPT,TPP
04-07,160,305,2974,6130,0.021435473807465973,-0.024433144757860892,0.06419435578136115,0.08862750053922204,False,62,0.04375,0.1875,47.23247232472325,GPT,TPP
04-08,92,305,993,6130,0.14805245581786203,0.07014443856093666,0.212746176236361,0.14260173767542433,True,36,0.07608695652173914,0.2608695652173913,28.789115646258505,GPT,TPP
06-07,1570,2488,2974,6130,0.19299585512757414,0.163217319853382,0.22540995029602548,0.062192630442643476,True,459,0.02165605095541401,0.06624203821656051,269.15265341777683,GPT,TPP
06-08,401,2488,993,6130,-0.0018532023435696013,-0.03958641518787384,0.03701077087609673,0.07659718606397056,False,152,0.02493765586034913,0.09476309226932667,109.46289993192649,GPT,TPP
07-08,617,2974,993,6130,0.10775981388674565,0.07193848758011824,0.14165843741573414,0.0697199498356159,True,193,0.03403565640194489,0.09562398703403566,127.61951055983911,GPT,TPP
