src,L1,camp,pair,n_win,n_ab
DS,L1-01,DPP,04-06,399,23
DS,L1-01,DPP,04-07,399,29
DS,L1-01,DPP,04-08,399,10
DS,L1-01,DPP,06-07,399,150
DS,L1-01,DPP,06-08,399,20
DS,L1-01,DPP,07-08,399,41
DS,L1-01,KMT,04-06,247,21
DS,L1-01,KMT,04-07,247,33
DS,L1-01,KMT,04-08,247,5
DS,L1-01,KMT,06-07,247,87
DS,L1-01,KMT,06-08,247,11
DS,L1-01,KMT,07-08,247,24
DS,L1-01,TPP,04-06,433,22
DS,L1-01,TPP,04-07,433,20
DS,L1-01,TPP,04-08,433,5
DS,L1-01,TPP,06-07,433,163
DS,L1-01,TPP,06-08,433,27
DS,L1-01,TPP,07-08,433,35
DS,L1-02,DPP,04-06,357,17
DS,L1-02,DPP,04-07,357,22
DS,L1-02,DPP,04-08,357,11
DS,L1-02,DPP,06-07,357,50
DS,L1-02,DPP,06-08,357,20
DS,L1-02,DPP,07-08,357,35
DS,L1-02,KMT,04-06,428,20
DS,L1-02,KMT,04-07,428,26
DS,L1-02,KMT,04-08,428,19
DS,L1-02,KMT,06-07,428,95
DS,L1-02,KMT,06-08,428,37
DS,L1-02,KMT,07-08,428,52
DS,L1-02,TPP,04-06,580,23
DS,L1-02,TPP,04-07,580,54
DS,L1-02,TPP,04-08,580,29
DS,L1-02,TPP,06-07,580,86
DS,L1-02,TPP,06-08,580,26
DS,L1-02,TPP,07-08,580,67
DS,L1-03,DPP,04-06,1188,55
DS,L1-03,DPP,04-07,1188,90
DS,L1-03,DPP,04-08,1188,48
DS,L1-03,DPP,06-07,1188,228
DS,L1-03,DPP,06-08,1188,125
DS,L1-03,DPP,07-08,1188,239
DS,L1-03,KMT,04-06,864,44
DS,L1-03,KMT,04-07,864,83
DS,L1-03,KMT,04-08,864,45
DS,L1-03,KMT,06-07,864,135
DS,L1-03,KMT,06-08,864,62
DS,L1-03,KMT,07-08,864,160
DS,L1-03,TPP,04-06,1206,62
DS,L1-03,TPP,04-07,1206,81
DS,L1-03,TPP,04-08,1206,55
DS,L1-03,TPP,06-07,1206,192
DS,L1-03,TPP,06-08,1206,120
DS,L1-03,TPP,07-08,1206,247
DS,L1-04,DPP,04-06,354,16
DS,L1-04,DPP,04-07,354,29
DS,L1-04,DPP,04-08,354,25
DS,L1-04,DPP,06-07,354,70
DS,L1-04,DPP,06-08,354,25
DS,L1-04,DPP,07-08,354,48
DS,L1-04,KMT,04-06,168,5
DS,L1-04,KMT,04-07,168,7
DS,L1-04,KMT,04-08,168,4
DS,L1-04,KMT,06-07,168,23
DS,L1-04,KMT,06-08,168,7
DS,L1-04,KMT,07-08,168,15
DS,L1-04,TPP,04-06,231,8
DS,L1-04,TPP,04-07,231,16
DS,L1-04,TPP,04-08,231,8
DS,L1-04,TPP,06-07,231,46
DS,L1-04,TPP,06-08,231,15
DS,L1-04,TPP,07-08,231,30
DS,L1-05,DPP,04-06,73,4
DS,L1-05,DPP,04-07,73,20
DS,L1-05,DPP,04-08,73,13
DS,L1-05,DPP,06-07,73,10
DS,L1-05,DPP,06-08,73,9
DS,L1-05,DPP,07-08,73,18
DS,L1-05,KMT,04-06,73,5
DS,L1-05,KMT,04-07,73,8
DS,L1-05,KMT,04-08,73,3
DS,L1-05,KMT,06-07,73,26
DS,L1-05,KMT,06-08,73,7
DS,L1-05,KMT,07-08,73,14
DS,L1-05,TPP,04-06,82,11
DS,L1-05,TPP,04-07,82,18
DS,L1-05,TPP,04-08,82,10
DS,L1-05,TPP,06-07,82,18
DS,L1-05,TPP,06-08,82,7
DS,L1-05,TPP,07-08,82,21
DS,L1-06,DPP,04-06,1715,60
DS,L1-06,DPP,04-07,1715,74
