pair,DS,GPT,DS_minus_GPT,z_DS,z_GPT
04-06,1.6692205840784324,0.8466308968016166,0.8225896872768158,9.591853989629424,-2.33029354159696
01-02,2.1164435908992925,1.3587738504848295,0.757669740414463,14.834215420836857,9.510045716756336
02-04,1.6781478220334594,0.9928608576426647,0.6852869643907946,4.829754590269473,-0.056839416181820916
02-08,2.1697383844177867,1.6503445774392456,0.5193938069785411,13.229739981100373,9.53592925656599
02-06,1.2995920724883578,0.8185250085263022,0.4810670639620557,2.5934545395583277,-2.835229930672252
01-06,1.340821204407221,0.9047985066432415,0.4360226977639795,10.17942786674901,-4.181947374328009
03-04,1.269169751454257,0.8694752096056308,0.3996945418486262,1.1103698535395086,-0.6290253305272263
05-06,1.1442193087008343,0.7650874612429761,0.3791318474578582,3.2806795432260674,-9.763496200872574
03-06,1.46123663915573,1.114928995362472,0.3463076437932582,3.8942086329085877,2.4507935825938802
03-07,1.4503057016920233,1.1281961928823452,0.32210950880967815,5.574313732058024,2.8613559983837216
06-08,1.1403991396988946,0.8628607337941703,0.27753840590472434,2.706122985156352,-3.229842454389043
02-05,1.446869484683803,1.199634893727996,0.24723459095580713,5.9866650067982,5.91262213584311
02-07,1.1544087608555276,0.9159495745655265,0.23845918629000107,2.5778281566889523,-1.8026187032019874
07-08,1.3940220316480678,1.1622246967747099,0.23179733487335796,16.65195684745201,6.384913924255362
04-08,1.6170265192349156,1.3961162584084275,0.22091026082648813,9.316346984345918,5.860943039692944
05-04,1.3538553496712493,1.142702897246716,0.2111524524245334,4.83450728457439,2.3593185641268044
01-03,1.5823809744135473,1.3737641033062336,0.20861687110731375,5.2438397245217105,11.756892817163738
04-07,1.0740720875348637,0.8687754215535285,0.20529666598133522,1.8728735001048196,-2.6138914326944755
02-03,1.0695187165775402,0.8842105263157894,0.18530819026175072,0.16572608868157884,-0.9517861683744774
01-04,1.1530470914127424,1.0065344857886918,0.14651260562405066,2.135455030297643,0.10367342887175682
01-08,1.5280614643067745,1.3838839181727252,0.14417754613404932,10.072925995175678,11.611011378037071
01-05,1.203751692775818,1.1254593319336272,0.07829236084219082,5.401590283494895,7.356047668540463
01-07,1.1986068742358187,1.1426928340836144,0.05591404015220425,7.423549595153047,7.441914195309778
05-08,1.3602647495150064,1.3152553381505236,0.045009411364482776,7.504297959853673,10.801935936459412
05-07,1.1675437172299847,1.1570368584819661,0.0105068587480186,7.256663733128131,8.881560136813354
06-07,1.0623328220275599,1.1295161857951528,-0.06718336376759293,2.8550298317521894,8.739450375311232
03-05,0.9916748285994124,1.17915737684921,-0.1874825482497977,-0.058472479021312175,4.484226375488464
03-08,0.9472511144130759,1.6089780354347187,-0.6617269210216429,-0.286404025503856,9.127258202531426
