stratum,pair,n_ab,null_mean,ratio,z,p_perm,q_bh,n_sent
pooled,01-02,180,123.53,1.457,8.96,0.002,0.0062,20900
pooled,01-03,57,47.42,1.202,2.52,0.018,0.036,20900
pooled,01-04,111,125.33,0.886,-2.13,0.032,0.0559,20900
pooled,01-05,360,380.86,0.945,-1.92,0.0659,0.1026,20900
pooled,01-06,460,420.85,1.093,3.83,0.002,0.0062,20900
pooled,01-07,647,661.58,0.978,-1.23,0.2318,0.295,20900
pooled,01-08,298,268.42,1.11,3.25,0.006,0.0153,20900
pooled,02-03,5,5.53,0.904,-0.28,1.0,1.0,20900
pooled,02-04,54,46.74,1.155,1.69,0.1119,0.1594,20900
pooled,02-05,137,131.58,1.041,0.81,0.4456,0.5198,20900
pooled,02-06,59,65.5,0.901,-1.18,0.2498,0.304,20900
pooled,02-07,145,164.7,0.88,-2.94,0.01,0.0215,20900
pooled,02-08,144,101.79,1.415,7.16,0.002,0.0062,20900
pooled,03-04,12,13.56,0.885,-0.7,0.6713,0.7519,20900
pooled,03-05,27,32.17,0.839,-1.46,0.1698,0.2264,20900
pooled,03-06,54,47.2,1.144,1.71,0.1139,0.1594,20900
pooled,03-07,85,72.56,1.171,2.78,0.01,0.0215,20900
pooled,03-08,17,23.87,0.712,-2.21,0.036,0.0592,20900
pooled,04-05,151,148.77,1.015,0.31,0.7852,0.8456,20900
pooled,04-06,187,148.91,1.256,4.99,0.002,0.0062,20900
pooled,04-07,267,300.73,0.888,-4.04,0.002,0.0062,20900
pooled,04-08,175,151.26,1.157,3.4,0.004,0.0112,20900
pooled,05-06,295,339.21,0.87,-4.38,0.002,0.0062,20900
pooled,05-07,814,841.86,0.967,-2.32,0.028,0.0522,20900
pooled,05-08,297,298.2,0.996,-0.13,0.9471,0.9821,20900
pooled,06-07,837,927.97,0.902,-7.17,0.002,0.0062,20900
pooled,06-08,227,269.16,0.843,-4.45,0.002,0.0062,20900
pooled,07-08,776,718.73,1.08,5.24,0.002,0.0062,20900
camp=DPP,01-02,55,40.58,1.355,4.0,0.002,0.008,6833
camp=DPP,01-03,19,15.16,1.253,1.67,0.1558,0.3058,6833
camp=DPP,01-04,52,50.11,1.038,0.51,0.6733,0.8978,6833
camp=DPP,01-05,141,150.25,0.938,-1.47,0.1638,0.3058,6833
camp=DPP,01-06,218,199.4,1.093,2.87,0.002,0.008,6833
camp=DPP,01-07,250,247.43,1.01,0.36,0.7493,0.9536,6833
camp=DPP,01-08,108,108.16,0.999,-0.03,1.0,1.0,6833
camp=DPP,02-03,2,2.27,0.882,-0.21,1.0,1.0,6833
camp=DPP,02-04,15,14.98,1.001,0.01,1.0,1.0,6833
camp=DPP,02-05,52,46.47,1.119,1.44,0.2018,0.3531,6833
camp=DPP,02-06,18,24.9,0.723,-2.05,0.048,0.1212,6833
camp=DPP,02-07,57,62.13,0.917,-1.35,0.2418,0.3761,6833
camp=DPP,02-08,56,40.92,1.368,4.24,0.002,0.008,6833
camp=DPP,03-04,5,5.18,0.965,-0.12,1.0,1.0,6833
camp=DPP,03-05,9,9.91,0.908,-0.43,0.8831,1.0,6833
