L1,L2,n_l1,load,load_ratio,raw_lift,comp_ratio,comp_lo,comp_hi,sig
L1-01,L2-01,1454,0.977,1.363,0.757,0.556,0.434,0.687,True
L1-01,L2-02,1454,0.977,1.363,0.557,0.409,0.237,0.671,True
L1-01,L2-03,1454,0.977,1.363,4.265,3.13,2.305,3.954,True
L1-01,L2-04,1454,0.977,1.363,0.967,0.71,0.517,0.896,True
L1-01,L2-05,1454,0.977,1.363,0.713,0.523,0.416,0.634,True
L1-01,L2-06,1454,0.977,1.363,2.91,2.136,1.977,2.304,True
L1-01,L2-07,1454,0.977,1.363,1.484,1.089,1.02,1.156,True
L1-01,L2-08,1454,0.977,1.363,0.159,0.117,0.064,0.179,True
L1-02,L2-01,1942,0.555,0.774,0.275,0.355,0.266,0.473,True
L1-02,L2-02,1942,0.555,0.774,0.445,0.575,0.316,0.863,True
L1-02,L2-03,1942,0.555,0.774,0.473,0.611,0.208,1.18,False
L1-02,L2-04,1942,0.555,0.774,1.506,1.947,1.582,2.375,True
L1-02,L2-05,1942,0.555,0.774,0.696,0.899,0.769,1.039,False
L1-02,L2-06,1942,0.555,0.774,0.918,1.186,1.038,1.321,True
L1-02,L2-07,1942,0.555,0.774,0.819,1.058,0.978,1.127,False
L1-02,L2-08,1942,0.555,0.774,0.86,1.111,0.948,1.29,False
L1-03,L2-01,4269,1.401,1.954,3.114,1.594,1.529,1.662,True
L1-03,L2-02,4269,1.401,1.954,3.631,1.858,1.715,2.008,True
L1-03,L2-03,4269,1.401,1.954,1.829,0.936,0.712,1.213,False
L1-03,L2-04,4269,1.401,1.954,1.713,0.877,0.782,0.974,True
L1-03,L2-05,4269,1.401,1.954,3.702,1.894,1.824,1.97,True
L1-03,L2-06,4269,1.401,1.954,1.229,0.629,0.58,0.678,True
L1-03,L2-07,4269,1.401,1.954,1.13,0.578,0.555,0.601,True
L1-03,L2-08,4269,1.401,1.954,2.021,1.034,0.97,1.106,False
L1-04,L2-01,1068,0.706,0.985,0.456,0.463,0.312,0.635,True
L1-04,L2-02,1068,0.706,0.985,0.202,0.205,0.0,0.466,True
L1-04,L2-03,1068,0.706,0.985,1.075,1.092,0.45,1.908,False
L1-04,L2-04,1068,0.706,0.985,0.895,0.909,0.556,1.215,False
L1-04,L2-05,1068,0.706,0.985,0.355,0.361,0.257,0.463,True
L1-04,L2-06,1068,0.706,0.985,1.42,1.442,1.217,1.686,True
L1-04,L2-07,1068,0.706,0.985,1.269,1.289,1.192,1.406,True
L1-04,L2-08,1068,0.706,0.985,1.013,1.029,0.801,1.278,False
L1-05,L2-01,327,1.076,1.502,0.496,0.33,0.193,0.487,True
L1-05,L2-02,327,1.076,1.502,0.33,0.22,0.0,0.552,True
L1-05,L2-03,327,1.076,1.502,1.756,1.169,0.254,2.362,False
L1-05,L2-04,327,1.076,1.502,3.785,2.52,1.706,3.239,True
L1-05,L2-05,327,1.076,1.502,0.396,0.264,0.149,0.411,True
L1-05,L2-06,327,1.076,1.502,1.23,0.819,0.623,1.064,False
L1-05,L2-07,327,1.076,1.502,1.789,1.191,1.052,1.324,True
L1-05,L2-08,327,1.076,1.502,2.931,1.951,1.548,2.368,True
L1-06,L2-01,7775,0.473,0.66,0.543,0.823,0.746,0.908,True
L1-06,L2-02,7775,0.473,0.66,0.354,0.537,0.392,0.724,True
L1-06,L2-03,7775,0.473,0.66,0.517,0.784,0.558,1.048,False
L1-06,L2-04,7775,0.473,0.66,0.658,0.998,0.859,1.139,False
L1-06,L2-05,7775,0.473,0.66,0.178,0.271,0.227,0.314,True
L1-06,L2-06,7775,0.473,0.66,0.638,0.968,0.893,1.036,False
L1-06,L2-07,7775,0.473,0.66,0.87,1.319,1.283,1.362,True
L1-06,L2-08,7775,0.473,0.66,0.835,1.266,1.166,1.349,True
L1-07,L2-01,4065,0.424,0.591,0.271,0.458,0.367,0.553,True
L1-07,L2-02,4065,0.424,0.591,0.159,0.27,0.113,0.453,True
L1-07,L2-03,4065,0.424,0.591,0.056,0.096,0.0,0.267,True
L1-07,L2-04,4065,0.424,0.591,0.477,0.808,0.65,1.002,False
L1-07,L2-05,4065,0.424,0.591,0.2,0.339,0.266,0.412,True
L1-07,L2-06,4065,0.424,0.591,0.679,1.149,1.025,1.253,True
L1-07,L2-07,4065,0.424,0.591,0.892,1.509,1.448,1.572,True
L1-07,L2-08,4065,0.424,0.591,0.453,0.766,0.645,0.895,True
