L2,L1,within_OR,within_p,contextual_OR,contextual_p,between_OR
L2-01,L1-01,1.009,0.9579,1.826,0.0249,1.843
L2-01,L1-02,0.573,0.005,0.717,0.2901,0.411
L2-01,L1-03,4.52,0.0,2.735,0.0,12.361
L2-01,L1-04,0.47,0.0015,3.173,0.0008,1.492
L2-01,L1-05,0.734,0.3775,1.924,0.2988,1.411
L2-01,L1-07,0.486,0.0,1.147,0.5557,0.558
L2-02,L1-01,1.379,0.4428,1.554,0.4384,2.142
L2-02,L1-02,0.638,0.3005,4.738,0.008,3.022
L2-02,L1-03,6.976,0.0,3.227,0.0006,22.509
L2-02,L1-04,0.438,0.2317,2.196,0.282,0.962
L2-02,L1-05,0.457,0.2076,8.313,0.0406,3.8
L2-02,L1-07,0.309,0.0034,3.133,0.0108,0.969
L2-03,L1-01,7.437,0.0,1.035,0.9514,7.696
L2-03,L1-02,0.828,0.6848,1.377,0.6357,1.14
L2-03,L1-03,1.648,0.072,3.794,0.0055,6.252
L2-03,L1-04,0.961,0.9374,4.971,0.0148,4.778
L2-03,L1-05,2.711,0.0316,1.711,0.6382,4.64
L2-03,L1-07,0.258,0.0573,0.061,0.0011,0.016
L2-04,L1-01,1.59,0.0519,0.948,0.8999,1.507
L2-04,L1-02,1.382,0.0666,3.041,0.0005,4.204
L2-04,L1-03,2.044,0.0,1.898,0.0139,3.879
L2-04,L1-04,1.301,0.2958,1.046,0.9272,1.361
L2-04,L1-05,2.583,0.0002,13.116,0.0,33.879
L2-04,L1-07,0.644,0.0107,1.452,0.1856,0.936
L2-05,L1-01,3.712,0.0,1.492,0.1526,5.539
L2-05,L1-02,3.102,0.0,1.805,0.0296,5.598
L2-05,L1-03,24.049,0.0,2.182,0.0,52.475
L2-05,L1-04,2.146,0.0007,0.871,0.6945,1.869
L2-05,L1-05,2.753,0.0016,0.516,0.3728,1.422
L2-05,L1-07,0.958,0.7919,1.614,0.031,1.546
L2-06,L1-01,4.914,0.0,1.582,0.0475,7.774
L2-06,L1-02,1.914,0.0,0.468,0.002,0.895
L2-06,L1-03,1.7,0.0,1.386,0.0459,2.356
L2-06,L1-04,1.68,0.0001,1.901,0.0099,3.194
L2-06,L1-05,2.189,0.0004,0.777,0.6499,1.702
L2-06,L1-07,0.91,0.3096,1.632,0.0055,1.485
L2-07,L1-01,1.764,0.0,1.949,0.0002,3.438
L2-07,L1-02,0.998,0.9821,0.624,0.0015,0.623
L2-07,L1-03,1.767,0.0,0.668,0.0007,1.181
L2-07,L1-04,1.478,0.0,1.216,0.2765,1.798
L2-07,L1-05,1.949,0.0,4.523,0.0,8.813
L2-07,L1-07,0.814,0.0004,1.926,0.0,1.568
L2-08,L1-01,0.124,0.0,2.494,0.0061,0.309
L2-08,L1-02,0.95,0.7396,1.027,0.9197,0.976
L2-08,L1-03,2.365,0.0,1.232,0.3011,2.913
L2-08,L1-04,1.195,0.2879,0.813,0.5243,0.972
L2-08,L1-05,2.516,0.0,4.417,0.0007,11.116
L2-08,L1-07,0.433,0.0,1.815,0.0053,0.786
