stratum,pair,n_ab,null_mean,ratio,z,p_perm,q_bh,n_sent
own,01-02,49,32.95,1.487,4.4,0.004,0.0186,7889
own,01-03,14,13.19,1.061,0.42,0.7984,0.9032,7889
own,01-04,35,32.19,1.087,0.79,0.479,0.6707,7889
own,01-05,116,118.24,0.981,-0.41,0.8064,0.9032,7889
own,01-06,134,128.85,1.04,0.87,0.4271,0.6295,7889
own,01-07,239,228.67,1.045,1.75,0.1078,0.315,7889
own,01-08,90,87.12,1.033,0.62,0.6108,0.7679,7889
own,02-03,0,0.64,0.0,-0.84,1.0,1.0,7889
own,02-04,13,12.26,1.06,0.33,0.9142,0.9845,7889
own,02-05,46,40.24,1.143,1.62,0.1238,0.315,7889
own,02-06,18,21.37,0.842,-1.04,0.3633,0.5983,7889
own,02-07,55,57.73,0.953,-0.72,0.5788,0.7679,7889
own,02-08,53,40.64,1.304,4.0,0.004,0.0186,7889
own,03-04,1,2.77,0.36,-1.52,0.2794,0.489,7889
own,03-05,5,7.18,0.696,-1.12,0.3992,0.621,7889
own,03-06,19,15.29,1.243,1.61,0.1836,0.3577,7889
own,03-07,35,29.42,1.19,2.25,0.02,0.0699,7889
own,03-08,4,6.68,0.599,-1.62,0.1916,0.3577,7889
own,04-05,60,65.89,0.911,-1.49,0.1477,0.3446,7889
own,04-06,58,51.78,1.12,1.54,0.1717,0.3577,7889
own,04-07,98,115.51,0.848,-3.69,0.004,0.0186,7889
own,04-08,64,51.68,1.238,3.55,0.004,0.0186,7889
own,05-06,126,129.36,0.974,-0.57,0.6307,0.7679,7889
own,05-07,336,346.66,0.969,-1.58,0.1158,0.315,7889
own,05-08,116,115.63,1.003,0.07,1.0,1.0,7889
own,06-07,322,354.86,0.907,-4.86,0.004,0.0186,7889
own,06-08,85,100.11,0.849,-3.06,0.004,0.0186,7889
own,07-08,313,297.09,1.054,2.87,0.012,0.0479,7889
cross,01-02,53,38.95,1.361,5.08,0.004,0.0559,3742
cross,01-03,6,4.91,1.223,1.46,0.3872,0.5706,3742
cross,01-04,18,21.12,0.852,-1.17,0.3513,0.5465,3742
cross,01-05,69,71.89,0.96,-0.75,0.6108,0.8551,3742
cross,01-06,68,61.93,1.098,1.59,0.1477,0.3353,3742
cross,01-07,113,125.02,0.904,-2.64,0.012,0.0559,3742
cross,01-08,69,58.1,1.188,2.97,0.008,0.0559,3742
cross,02-03,1,0.74,1.359,0.41,1.0,1.0,3742
cross,02-04,17,14.49,1.173,1.3,0.3154,0.5465,3742
cross,02-05,31,31.68,0.978,-0.26,0.9621,1.0,3742
cross,02-06,15,14.0,1.071,0.49,0.7784,1.0,3742
cross,02-07,38,44.65,0.851,-2.18,0.0439,0.1537,3742
cross,02-08,41,31.01,1.322,3.74,0.004,0.0559,3742
cross,03-04,3,3.24,0.926,-0.52,1.0,1.0,3742
cross,03-05,5,3.68,1.36,1.64,0.2914,0.544,3742
cross,03-06,4,4.35,0.919,-0.41,1.0,1.0,3742
cross,03-07,8,8.66,0.924,-0.63,0.9102,1.0,3742
cross,03-08,3,3.04,0.986,-0.08,1.0,1.0,3742
cross,04-05,32,31.25,1.024,0.27,0.9142,1.0,3742
cross,04-06,49,40.76,1.202,2.6,0.012,0.0559,3742
cross,04-07,54,62.03,0.87,-2.34,0.024,0.0958,3742
cross,04-08,35,29.51,1.186,2.03,0.0798,0.2236,3742
cross,05-06,69,75.13,0.918,-1.55,0.1557,0.3353,3742
cross,05-07,159,166.57,0.955,-1.61,0.1517,0.3353,3742
cross,05-08,60,64.28,0.933,-1.12,0.3353,0.5465,3742
cross,06-07,167,179.64,0.93,-2.71,0.012,0.0559,3742
cross,06-08,43,47.61,0.903,-1.31,0.2236,0.4471,3742
cross,07-08,161,152.77,1.054,1.93,0.0519,0.1615,3742
reporter,01-02,78,61.68,1.265,4.2,0.004,0.0279,9269
reporter,01-03,37,33.5,1.105,1.21,0.2874,0.4997,9269
reporter,01-04,58,65.13,0.89,-1.74,0.1038,0.2236,9269
reporter,01-05,175,188.63,0.928,-2.12,0.0479,0.1211,9269
reporter,01-06,258,232.19,1.111,4.18,0.004,0.0279,9269
reporter,01-07,295,300.47,0.982,-0.73,0.515,0.7132,9269
reporter,01-08,139,124.95,1.112,2.28,0.0399,0.1118,9269
reporter,02-03,4,3.88,1.032,0.08,1.0,1.0,9269
reporter,02-04,24,21.34,1.125,1.06,0.3992,0.5883,9269
reporter,02-05,60,61.27,0.979,-0.29,0.8663,0.9702,9269
reporter,02-06,26,24.39,1.066,0.52,0.6986,0.8505,9269
reporter,02-07,52,61.47,0.846,-2.41,0.0279,0.0978,9269
reporter,02-08,50,41.86,1.194,2.34,0.0279,0.0978,9269
reporter,03-04,8,8.4,0.952,-0.26,1.0,1.0,9269
reporter,03-05,17,18.98,0.896,-0.86,0.5349,0.7132,9269
reporter,03-06,31,29.9,1.037,0.42,0.8503,0.9702,9269
reporter,03-07,42,35.58,1.181,2.2,0.0519,0.1211,9269
reporter,03-08,10,12.4,0.806,-1.06,0.3992,0.5883,9269
reporter,04-05,59,53.64,1.1,1.39,0.2116,0.4232,9269
reporter,04-06,80,65.66,1.218,3.46,0.008,0.0447,9269
reporter,04-07,115,120.23,0.956,-1.13,0.2954,0.4997,9269
reporter,04-08,76,71.57,1.062,1.1,0.3034,0.4997,9269
reporter,05-06,100,130.77,0.765,-5.18,0.004,0.0279,9269
reporter,05-07,319,320.55,0.995,-0.21,0.9022,0.9716,9269
reporter,05-08,121,123.91,0.976,-0.52,0.6427,0.818,9269
reporter,06-07,348,374.76,0.929,-3.71,0.004,0.0279,9269
reporter,06-08,99,111.82,0.885,-2.31,0.0359,0.1118,9269
reporter,07-08,302,284.06,1.063,2.83,0.016,0.0745,9269
role=claim,01-02,135,94.74,1.425,7.75,0.004,0.0186,11815
role=claim,01-03,36,28.34,1.27,2.39,0.0279,0.0602,11815
role=claim,01-04,87,95.12,0.915,-1.43,0.1996,0.3105,11815
role=claim,01-05,269,277.69,0.969,-1.05,0.3713,0.5198,11815
role=claim,01-06,253,234.58,1.079,2.37,0.016,0.0406,11815
role=claim,01-07,471,475.5,0.991,-0.51,0.6507,0.7591,11815
role=claim,01-08,229,207.74,1.102,3.0,0.012,0.0335,11815
role=claim,02-03,2,2.94,0.68,-0.65,0.8743,0.9066,11815
role=claim,02-04,45,38.48,1.169,1.72,0.1038,0.171,11815
role=claim,02-05,109,106.4,1.024,0.48,0.7345,0.791,11815
role=claim,02-06,42,47.74,0.88,-1.28,0.2515,0.3706,11815
role=claim,02-07,112,130.41,0.859,-3.32,0.004,0.0186,11815
role=claim,02-08,119,91.26,1.304,5.97,0.004,0.0186,11815
role=claim,03-04,11,10.47,1.051,0.32,0.9381,0.9381,11815
role=claim,03-05,15,17.36,0.864,-0.89,0.499,0.6221,11815
role=claim,03-06,41,34.15,1.2,2.28,0.0279,0.0602,11815
role=claim,03-07,53,50.31,1.054,0.81,0.511,0.6221,11815
role=claim,03-08,15,19.37,0.774,-1.85,0.0878,0.1537,11815
role=claim,04-05,121,118.14,1.024,0.5,0.7026,0.7869,11815
role=claim,04-06,135,110.24,1.225,4.4,0.004,0.0186,11815
role=claim,04-07,222,246.04,0.902,-3.33,0.004,0.0186,11815
role=claim,04-08,139,127.26,1.092,2.07,0.0599,0.1118,11815
role=claim,05-06,209,232.13,0.9,-2.91,0.008,0.0279,11815
role=claim,05-07,623,642.36,0.97,-2.05,0.0599,0.1118,11815
role=claim,05-08,233,239.11,0.974,-0.8,0.4511,0.6015,11815
role=claim,06-07,613,663.89,0.923,-5.1,0.004,0.0186,11815
role=claim,06-08,174,192.8,0.902,-2.52,0.012,0.0335,11815
role=claim,07-08,605,583.44,1.037,2.46,0.008,0.0279,11815
role=context,01-02,41,30.46,1.346,4.25,0.004,0.0224,9007
role=context,01-03,21,18.4,1.142,1.4,0.2555,0.4098,9007
role=context,01-04,20,25.23,0.793,-2.0,0.0719,0.2012,9007
role=context,01-05,90,95.66,0.941,-1.38,0.1677,0.3353,9007
role=context,01-06,204,186.67,1.093,3.22,0.004,0.0224,9007
role=context,01-07,172,178.63,0.963,-1.21,0.2635,0.4098,9007
role=context,01-08,68,68.02,1.0,-0.01,1.0,1.0,9007
