stratum,pair,n_ab,null_mean,ratio,z,p_perm,q_bh,n_sent
own_voice_all,01-02,49,33.08,1.481,4.45,0.004,0.0186,7889
own_voice_all,01-03,14,13.24,1.058,0.39,0.8503,0.9157,7889
own_voice_all,01-04,35,32.4,1.08,0.71,0.5389,0.7186,7889
own_voice_all,01-05,116,118.0,0.983,-0.39,0.7745,0.9035,7889
own_voice_all,01-06,134,128.66,1.042,0.95,0.3872,0.5706,7889
own_voice_all,01-07,239,227.73,1.049,1.74,0.1158,0.3242,7889
own_voice_all,01-08,90,87.27,1.031,0.57,0.6587,0.8383,7889
own_voice_all,02-03,0,0.62,0.0,-0.85,1.0,1.0,7889
own_voice_all,02-04,13,12.14,1.071,0.4,0.8303,0.9157,7889
own_voice_all,02-05,46,40.53,1.135,1.43,0.1916,0.38,7889
own_voice_all,02-06,18,21.49,0.838,-1.11,0.3234,0.5326,7889
own_voice_all,02-07,55,58.02,0.948,-0.78,0.515,0.7186,7889
own_voice_all,02-08,53,40.97,1.294,3.66,0.004,0.0186,7889
own_voice_all,03-04,1,2.72,0.368,-1.34,0.3194,0.5326,7889
own_voice_all,03-05,5,7.12,0.702,-1.14,0.3832,0.5706,7889
own_voice_all,03-06,19,15.38,1.236,1.51,0.2036,0.38,7889
own_voice_all,03-07,35,29.49,1.187,2.12,0.0439,0.1537,7889
own_voice_all,03-08,4,6.68,0.599,-1.69,0.1637,0.38,7889
own_voice_all,04-05,60,65.72,0.913,-1.52,0.1756,0.38,7889
own_voice_all,04-06,58,51.91,1.117,1.43,0.1956,0.38,7889
own_voice_all,04-07,98,115.13,0.851,-3.99,0.004,0.0186,7889
own_voice_all,04-08,64,51.46,1.244,3.6,0.004,0.0186,7889
own_voice_all,05-06,126,128.86,0.978,-0.47,0.7106,0.8651,7889
own_voice_all,05-07,336,346.61,0.969,-1.65,0.1158,0.3242,7889
own_voice_all,05-08,116,115.7,1.003,0.06,1.0,1.0,7889
own_voice_all,06-07,322,355.53,0.906,-4.78,0.004,0.0186,7889
own_voice_all,06-08,85,99.86,0.851,-3.02,0.004,0.0186,7889
own_voice_all,07-08,313,297.7,1.051,2.73,0.012,0.0479,7889
cna×DPP,01-02,25,16.46,1.518,3.34,0.004,0.0224,3312
cna×DPP,01-03,5,5.7,0.877,-0.66,0.9381,0.9811,3312
cna×DPP,01-04,22,19.28,1.141,1.11,0.3832,0.7203,3312
cna×DPP,01-05,62,69.43,0.893,-1.57,0.1477,0.3267,3312
cna×DPP,01-06,105,90.24,1.164,3.19,0.008,0.0373,3312
cna×DPP,01-07,114,121.36,0.939,-1.55,0.1397,0.3267,3312
cna×DPP,01-08,57,54.65,1.043,0.56,0.6587,0.8782,3312
cna×DPP,02-03,0,0.26,0.0,-0.56,1.0,1.0,3312
cna×DPP,02-04,4,4.72,0.847,-0.51,0.9461,0.9811,3312
cna×DPP,02-05,20,17.99,1.112,0.74,0.6108,0.8774,3312
cna×DPP,02-06,12,14.5,0.828,-0.99,0.4631,0.7203,3312
cna×DPP,02-07,21,28.18,0.745,-2.88,0.024,0.0838,3312
cna×DPP,02-08,26,18.74,1.388,3.04,0.016,0.0639,3312
cna×DPP,03-04,2,1.32,1.517,0.94,0.7465,0.9088,3312
cna×DPP,03-05,1,1.59,0.628,-0.63,0.9461,0.9811,3312
cna×DPP,03-06,5,4.33,1.155,0.55,0.8663,0.9811,3312
cna×DPP,03-07,9,7.53,1.195,1.13,0.4631,0.7203,3312
cna×DPP,03-08,1,2.05,0.488,-0.94,0.6267,0.8774,3312
cna×DPP,04-05,20,21.58,0.927,-0.58,0.7066,0.8993,3312
cna×DPP,04-06,33,26.63,1.239,1.97,0.0758,0.2124,3312
cna×DPP,04-07,47,52.39,0.897,-1.57,0.1517,0.3267,3312
cna×DPP,04-08,46,33.55,1.371,4.09,0.004,0.0224,3312
cna×DPP,05-06,46,59.15,0.778,-2.85,0.004,0.0224,3312
cna×DPP,05-07,146,141.77,1.03,0.83,0.4551,0.7203,3312
cna×DPP,05-08,80,66.78,1.198,3.16,0.004,0.0224,3312
cna×DPP,06-07,151,176.25,0.857,-4.56,0.004,0.0224,3312
cna×DPP,06-08,55,63.3,0.869,-1.97,0.0639,0.1987,3312
cna×DPP,07-08,165,160.27,1.03,0.96,0.3952,0.7203,3312
own×DPP,01-02,24,18.9,1.27,2.19,0.0479,0.1615,2716
own×DPP,01-03,5,4.82,1.037,0.12,1.0,1.0,2716
own×DPP,01-04,16,14.15,1.131,0.81,0.5629,0.985,2716
own×DPP,01-05,61,62.12,0.982,-0.31,0.8822,1.0,2716
own×DPP,01-06,81,75.48,1.073,1.36,0.2236,0.5589,2716
own×DPP,01-07,114,109.96,1.037,0.97,0.3513,0.7566,2716
own×DPP,01-08,51,53.95,0.945,-0.79,0.515,0.9613,2716
own×DPP,02-03,0,0.55,0.0,-0.84,1.0,1.0,2716
own×DPP,02-04,7,6.35,1.102,0.43,0.9222,1.0,2716
own×DPP,02-05,30,24.6,1.22,2.26,0.0399,0.1597,2716
own×DPP,02-06,10,12.64,0.791,-1.09,0.3792,0.7585,2716
own×DPP,02-07,36,36.17,0.995,-0.07,1.0,1.0,2716
own×DPP,02-08,32,27.24,1.175,2.12,0.0838,0.2347,2716
own×DPP,03-04,1,0.88,1.134,0.15,1.0,1.0,2716
own×DPP,03-05,3,3.27,0.917,-0.22,1.0,1.0,2716
own×DPP,03-06,6,4.99,1.201,0.64,0.7146,1.0,2716
own×DPP,03-07,12,10.88,1.103,0.75,0.6826,1.0,2716
own×DPP,03-08,1,4.08,0.245,-2.24,0.0519,0.1615,2716
own×DPP,04-05,26,26.24,0.991,-0.1,1.0,1.0,2716
own×DPP,04-06,25,26.16,0.956,-0.38,0.8743,1.0,2716
own×DPP,04-07,40,47.81,0.837,-2.27,0.0399,0.1597,2716
own×DPP,04-08,39,28.89,1.35,4.22,0.004,0.0373,2716
own×DPP,05-06,46,50.86,0.904,-1.23,0.2395,0.5589,2716
own×DPP,05-07,141,139.31,1.012,0.42,0.7625,1.0,2716
own×DPP,05-08,78,69.3,1.125,2.55,0.02,0.1397,2716
own×DPP,06-07,140,162.53,0.861,-4.69,0.004,0.0373,2716
own×DPP,06-08,45,56.99,0.79,-2.94,0.004,0.0373,2716
own×DPP,07-08,183,173.86,1.053,2.19,0.0399,0.1597,2716
cna×KMT,01-02,34,19.5,1.743,5.47,0.004,0.0373,3158
cna×KMT,01-03,4,2.5,1.599,1.27,0.3792,0.7035,3158
cna×KMT,01-04,13,19.92,0.652,-2.26,0.0519,0.2422,3158
cna×KMT,01-05,55,53.93,1.02,0.26,0.8743,1.0,3158
cna×KMT,01-06,35,37.26,0.939,-0.6,0.6228,0.9687,3158
cna×KMT,01-07,94,94.69,0.993,-0.16,0.9701,1.0,3158
cna×KMT,01-08,51,37.27,1.369,3.75,0.004,0.0373,3158
cna×KMT,02-03,0,0.08,0.0,-0.3,1.0,1.0,3158
cna×KMT,02-04,9,8.34,1.079,0.33,0.9301,1.0,3158
cna×KMT,02-05,19,21.77,0.873,-0.94,0.4271,0.7035,3158
cna×KMT,02-06,11,11.34,0.97,-0.15,1.0,1.0,3158
cna×KMT,02-07,26,31.5,0.825,-1.82,0.0918,0.2857,3158
cna×KMT,02-08,24,15.79,1.52,3.13,0.004,0.0373,3158
cna×KMT,03-04,1,1.95,0.512,-1.13,0.6826,0.9892,3158
cna×KMT,03-05,2,4.12,0.485,-1.65,0.1996,0.4643,3158
cna×KMT,03-06,3,4.7,0.639,-1.35,0.3353,0.6707,3158
cna×KMT,03-07,16,12.73,1.257,2.14,0.0719,0.2857,3158
cna×KMT,03-08,2,2.36,0.848,-0.33,1.0,1.0,3158
cna×KMT,04-05,29,28.93,1.002,0.02,1.0,1.0,3158
cna×KMT,04-06,35,27.3,1.282,2.37,0.0359,0.2012,3158
cna×KMT,04-07,49,53.98,0.908,-1.41,0.2156,0.4643,3158
cna×KMT,04-08,23,18.5,1.243,1.6,0.1597,0.4471,3158
cna×KMT,05-06,63,60.92,1.034,0.49,0.7066,0.9892,3158
cna×KMT,05-07,144,153.83,0.936,-1.86,0.0918,0.2857,3158
cna×KMT,05-08,35,45.28,0.773,-2.56,0.0319,0.2012,3158
cna×KMT,06-07,157,161.53,0.972,-0.95,0.4152,0.7035,3158
cna×KMT,06-08,32,37.53,0.853,-1.46,0.1796,0.4573,3158
cna×KMT,07-08,103,101.45,1.015,0.37,0.8224,1.0,3158
own×KMT,01-02,14,7.81,1.792,3.59,0.004,0.0559,2698
own×KMT,01-03,3,2.43,1.236,0.84,0.8263,1.0,2698
own×KMT,01-04,13,12.57,1.035,0.2,1.0,1.0,2698
own×KMT,01-05,37,37.18,0.995,-0.06,1.0,1.0,2698
own×KMT,01-06,35,36.1,0.969,-0.38,0.8263,1.0,2698
own×KMT,01-07,80,75.73,1.056,1.22,0.2794,0.8271,2698
own×KMT,01-08,26,21.24,1.224,2.01,0.0958,0.4471,2698
own×KMT,02-03,0,0.02,0.0,-0.16,1.0,1.0,2698
own×KMT,02-04,3,3.02,0.993,-0.02,1.0,1.0,2698
own×KMT,02-05,11,11.3,0.973,-0.14,1.0,1.0,2698
own×KMT,02-06,4,5.38,0.744,-0.79,0.6267,1.0,2698
own×KMT,02-07,13,14.88,0.873,-0.84,0.5589,1.0,2698
own×KMT,02-08,13,6.67,1.948,3.75,0.004,0.0559,2698
own×KMT,03-04,0,1.15,0.0,-1.41,0.4551,1.0,2698
own×KMT,03-05,2,2.69,0.743,-0.66,0.9142,1.0,2698
own×KMT,03-06,5,5.06,0.989,-0.05,1.0,1.0,2698
own×KMT,03-07,13,10.26,1.267,2.25,0.0838,0.4471,2698
own×KMT,03-08,3,2.72,1.105,0.39,1.0,1.0,2698
own×KMT,04-05,27,30.31,0.891,-1.32,0.2475,0.8271,2698
own×KMT,04-06,19,16.93,1.122,0.98,0.4471,1.0,2698
own×KMT,04-07,37,43.32,0.854,-2.56,0.012,0.1118,2698
own×KMT,04-08,14,13.14,1.066,0.48,0.8503,1.0,2698
own×KMT,05-06,57,54.62,1.044,0.67,0.5908,1.0,2698
own×KMT,05-07,131,135.94,0.964,-1.15,0.2954,0.8271,2698
own×KMT,05-08,26,31.0,0.839,-1.97,0.0758,0.4471,2698
own×KMT,06-07,118,122.45,0.964,-1.21,0.2794,0.8271,2698
own×KMT,06-08,24,23.92,1.003,0.03,1.0,1.0,2698
own×KMT,07-08,67,67.15,0.998,-0.05,1.0,1.0,2698
cna×TPP,01-02,48,31.6,1.519,5.43,0.004,0.0224,5990
cna×TPP,01-03,15,10.41,1.441,2.29,0.0519,0.1453,5990
cna×TPP,01-04,30,34.1,0.88,-1.09,0.3393,0.5001,5990
cna×TPP,01-05,80,86.02,0.93,-1.15,0.2675,0.4681,5990
cna×TPP,01-06,84,73.38,1.145,1.96,0.0719,0.1829,5990
cna×TPP,01-07,150,160.22,0.936,-1.67,0.1078,0.2322,5990
cna×TPP,01-08,76,64.37,1.181,2.62,0.0279,0.1304,5990
cna×TPP,02-03,1,1.81,0.551,-0.73,0.8543,1.0,5990
cna×TPP,02-04,20,17.21,1.162,1.24,0.3034,0.4844,5990
cna×TPP,02-05,35,36.08,0.97,-0.32,0.8902,1.0,5990
cna×TPP,02-06,19,18.85,1.008,0.05,1.0,1.0,5990
cna×TPP,02-07,35,40.08,0.873,-1.58,0.1597,0.3194,5990
cna×TPP,02-08,37,25.98,1.424,3.8,0.004,0.0224,5990
cna×TPP,03-04,5,5.14,0.973,-0.11,1.0,1.0,5990
cna×TPP,03-05,5,5.57,0.898,-0.36,1.0,1.0,5990
cna×TPP,03-06,16,10.68,1.498,2.4,0.0399,0.1453,5990
cna×TPP,03-07,19,19.97,0.951,-0.41,0.8224,1.0,5990
cna×TPP,03-08,4,5.65,0.708,-1.1,0.479,0.6387,5990
cna×TPP,04-05,45,40.68,1.106,1.09,0.3593,0.503,5990
cna×TPP,04-06,56,40.79,1.373,3.86,0.004,0.0224,5990
cna×TPP,04-07,69,78.69,0.877,-2.12,0.0519,0.1453,5990
cna×TPP,04-08,37,36.83,1.005,0.05,1.0,1.0,5990
cna×TPP,05-06,79,89.09,0.887,-1.84,0.0958,0.2236,5990
cna×TPP,05-07,226,239.13,0.945,-2.11,0.0479,0.1453,5990
cna×TPP,05-08,75,80.27,0.934,-1.06,0.3114,0.4844,5990
cna×TPP,06-07,211,236.55,0.892,-4.03,0.004,0.0224,5990
cna×TPP,06-08,61,66.96,0.911,-1.3,0.2475,0.462,5990
cna×TPP,07-08,245,226.88,1.08,3.22,0.004,0.0224,5990
own×TPP,01-02,11,6.53,1.684,2.96,0.016,0.149,2475
own×TPP,01-03,6,6.08,0.987,-0.08,1.0,1.0,2475
own×TPP,01-04,6,6.0,1.001,0.0,1.0,1.0,2475
own×TPP,01-05,18,19.36,0.93,-0.57,0.7106,1.0,2475
own×TPP,01-06,18,18.42,0.977,-0.19,1.0,1.0,2475
own×TPP,01-07,45,41.54,1.083,1.17,0.3433,0.9613,2475
own×TPP,01-08,13,11.92,1.091,0.57,0.7305,1.0,2475
own×TPP,02-03,0,0.0,,,1.0,1.0,2475
own×TPP,02-04,3,2.66,1.126,0.34,1.0,1.0,2475
own×TPP,02-05,5,5.38,0.929,-0.22,1.0,1.0,2475
own×TPP,02-06,4,3.55,1.128,0.36,0.9661,1.0,2475
own×TPP,02-07,6,6.74,0.89,-0.38,0.8822,1.0,2475
own×TPP,02-08,8,6.38,1.254,1.19,0.3992,1.0,2475
own×TPP,03-04,0,0.64,0.0,-1.34,0.7186,1.0,2475
own×TPP,03-05,0,0.94,0.0,-1.06,0.7146,1.0,2475
own×TPP,03-06,8,5.07,1.577,2.22,0.0998,0.4657,2475
own×TPP,03-07,10,8.57,1.167,0.93,0.519,1.0,2475
own×TPP,03-08,0,0.05,0.0,-0.22,1.0,1.0,2475
own×TPP,04-05,7,8.24,0.85,-0.75,0.7226,1.0,2475
own×TPP,04-06,14,9.89,1.416,2.34,0.0359,0.2515,2475
own×TPP,04-07,21,24.06,0.873,-1.62,0.1717,0.6008,2475
own×TPP,04-08,11,9.69,1.135,0.96,0.5509,1.0,2475
own×TPP,05-06,23,22.88,1.005,0.05,1.0,1.0,2475
own×TPP,05-07,64,71.54,0.895,-2.54,0.012,0.149,2475
own×TPP,05-08,12,14.65,0.819,-1.34,0.2715,0.8445,2475
own×TPP,06-07,64,69.8,0.917,-1.82,0.0878,0.4657,2475
own×TPP,06-08,16,19.48,0.821,-1.8,0.1277,0.511,2475
own×TPP,07-08,63,55.94,1.126,3.01,0.008,0.149,2475
