voice,L1,L2,n_l1,load,comp,lo,hi,sig
own,L1-01,L2-01,432,1.007,0.587,0.351,0.916,True
own,L1-01,L2-02,432,1.007,0.401,0.081,0.849,True
own,L1-01,L2-03,432,1.007,4.54,3.028,6.013,True
own,L1-01,L2-04,432,1.007,0.948,0.565,1.318,False
own,L1-01,L2-05,432,1.007,0.725,0.501,0.903,True
own,L1-01,L2-06,432,1.007,2.154,1.845,2.423,True
own,L1-01,L2-07,432,1.007,0.961,0.876,1.056,False
own,L1-01,L2-08,432,1.007,0.025,0.0,0.093,True
own,L1-02,L2-01,910,0.546,0.431,0.242,0.628,True
own,L1-02,L2-02,910,0.546,0.438,0.096,0.847,True
own,L1-02,L2-03,910,0.546,0.378,0.0,0.99,True
own,L1-02,L2-04,910,0.546,1.867,1.362,2.427,True
own,L1-02,L2-05,910,0.546,1.176,0.977,1.392,False
own,L1-02,L2-06,910,0.546,1.386,1.184,1.615,True
own,L1-02,L2-07,910,0.546,0.925,0.838,1.005,False
own,L1-02,L2-08,910,0.546,0.895,0.656,1.106,False
own,L1-03,L2-01,1135,1.571,1.838,1.721,1.987,True
own,L1-03,L2-02,1135,1.571,1.98,1.714,2.272,True
own,L1-03,L2-03,1135,1.571,0.686,0.361,1.026,False
own,L1-03,L2-04,1135,1.571,1.041,0.858,1.222,False
own,L1-03,L2-05,1135,1.571,1.984,1.862,2.136,True
own,L1-03,L2-06,1135,1.571,0.637,0.554,0.717,True
own,L1-03,L2-07,1135,1.571,0.582,0.544,0.616,True
own,L1-03,L2-08,1135,1.571,1.12,1.001,1.233,True
own,L1-04,L2-01,309,0.812,0.61,0.327,0.915,True
own,L1-04,L2-02,309,0.812,0.0,0.0,0.0,True
own,L1-04,L2-03,309,0.812,0.749,0.0,1.859,False
own,L1-04,L2-04,309,0.812,0.329,0.077,0.687,True
own,L1-04,L2-05,309,0.812,0.276,0.11,0.45,True
own,L1-04,L2-06,309,0.812,1.329,1.045,1.672,True
own,L1-04,L2-07,309,0.812,1.325,1.191,1.451,True
own,L1-04,L2-08,309,0.812,0.951,0.599,1.316,False
own,L1-05,L2-01,108,1.019,0.557,0.19,0.972,True
own,L1-05,L2-02,108,1.019,0.0,0.0,0.0,True
own,L1-05,L2-03,108,1.019,1.71,0.0,4.402,False
own,L1-05,L2-04,108,1.019,1.874,0.943,2.884,False
own,L1-05,L2-05,108,1.019,0.14,0.0,0.331,True
own,L1-05,L2-06,108,1.019,1.162,0.771,1.603,False
