voice,L2,L1,within_OR,within_p,contextual_OR,contextual_p
own,L2-01,L1-01,1.113,0.7948,1.779,0.2659
own,L2-01,L1-02,0.591,0.1318,1.708,0.2709
own,L2-01,L1-03,5.099,0.0,5.309,0.0
own,L2-01,L1-04,0.865,0.693,2.774,0.0493
own,L2-01,L1-05,1.133,0.7989,3.477,0.1634
own,L2-01,L1-07,0.527,0.0046,1.89,0.0561
own,L2-02,L1-01,0.832,0.7958,0.986,0.9885
own,L2-02,L1-02,0.489,0.3231,1.35,0.735
own,L2-02,L1-03,5.854,0.0,1.528,0.4448
own,L2-02,L1-04,0.0,0.0,0.27,0.5185
own,L2-02,L1-05,0.0,0.0,0.0,0.1197
own,L2-02,L1-07,0.181,0.0052,1.653,0.4201
own,L2-03,L1-01,7.241,0.0,1.004,0.9957
own,L2-03,L1-02,0.523,0.3891,0.441,0.4824
own,L2-03,L1-03,0.965,0.9474,3.53,0.0691
own,L2-03,L1-04,0.68,0.7241,2.805,0.418
own,L2-03,L1-05,1.589,0.5354,8.206,0.0163
own,L2-03,L1-07,0.0,0.0,0.106,0.0737
own,L2-04,L1-01,1.906,0.0654,1.927,0.3288
own,L2-04,L1-02,1.68,0.0495,1.946,0.1282
own,L2-04,L1-03,2.295,0.0027,2.838,0.0094
own,L2-04,L1-04,0.831,0.7628,0.419,0.3724
own,L2-04,L1-05,5.134,0.0039,0.733,0.797
own,L2-04,L1-07,0.481,0.0083,2.025,0.0941
own,L2-05,L1-01,3.981,0.0,2.198,0.097
own,L2-05,L1-02,3.353,0.0,1.663,0.1639
own,L2-05,L1-03,23.091,0.0,2.263,0.0059
own,L2-05,L1-04,1.107,0.8481,1.948,0.2716
own,L2-05,L1-05,1.342,0.7152,0.189,0.2763
own,L2-05,L1-07,0.862,0.5315,2.301,0.0071
own,L2-06,L1-01,4.118,0.0,2.909,0.0028
own,L2-06,L1-02,2.237,0.0,0.809,0.5445
own,L2-06,L1-03,1.316,0.0435,3.494,0.0
own,L2-06,L1-04,1.571,0.0658,2.75,0.01
own,L2-06,L1-05,3.512,0.0008,0.625,0.6059
own,L2-06,L1-07,0.803,0.1508,2.76,0.0
own,L2-07,L1-01,1.68,0.0,2.076,0.0107
own,L2-07,L1-02,1.047,0.6942,0.377,0.0
own,L2-07,L1-03,2.063,0.0,0.628,0.0173
own,L2-07,L1-04,1.757,0.0003,1.608,0.1009
own,L2-07,L1-05,2.064,0.0016,2.93,0.0521
own,L2-07,L1-07,0.828,0.0289,1.464,0.025
own,L2-08,L1-01,0.027,0.0003,2.526,0.1426
own,L2-08,L1-02,0.869,0.574,0.701,0.3938
own,L2-08,L1-03,2.546,0.0,1.213,0.5652
own,L2-08,L1-04,1.254,0.4941,0.474,0.1373
own,L2-08,L1-05,1.615,0.2222,1.827,0.4116
own,L2-08,L1-07,0.426,0.0,1.664,0.103
reporter,L2-01,L1-01,0.787,0.2707,1.901,0.0475
reporter,L2-01,L1-02,0.435,0.0203,0.769,0.5991
reporter,L2-01,L1-03,3.156,0.0,2.403,0.0002
reporter,L2-01,L1-04,0.328,0.0006,2.69,0.0152
reporter,L2-01,L1-05,0.462,0.1281,2.286,0.3039
reporter,L2-01,L1-07,0.405,0.0004,2.06,0.0367
reporter,L2-02,L1-01,2.4,0.1656,0.656,0.613
reporter,L2-02,L1-02,2.655,0.1863,1.522,0.6674
reporter,L2-02,L1-03,8.86,0.0,2.45,0.0482
reporter,L2-02,L1-04,2.023,0.3077,0.594,0.5882
reporter,L2-02,L1-05,0.514,0.5162,26.174,0.003
reporter,L2-02,L1-07,0.967,0.9595,1.902,0.4171
reporter,L2-03,L1-01,7.773,0.0,0.91,0.8964
reporter,L2-03,L1-02,2.56,0.1425,0.427,0.4058
reporter,L2-03,L1-03,1.873,0.1104,3.354,0.0416
reporter,L2-03,L1-04,1.348,0.6497,2.289,0.3215
reporter,L2-03,L1-05,3.423,0.0655,0.356,0.6377
reporter,L2-03,L1-07,0.868,0.8453,0.226,0.1852
reporter,L2-04,L1-01,0.988,0.9744,0.792,0.6702
reporter,L2-04,L1-02,1.253,0.5335,2.31,0.141
reporter,L2-04,L1-03,1.578,0.0774,1.674,0.1616
reporter,L2-04,L1-04,0.912,0.8121,2.399,0.1046
reporter,L2-04,L1-05,2.076,0.0298,11.275,0.0
reporter,L2-04,L1-07,0.722,0.3407,1.781,0.2345
reporter,L2-05,L1-01,3.915,0.0,1.08,0.822
reporter,L2-05,L1-02,3.739,0.0001,1.1,0.8403
