pair,own_named,no_name,diff,z,p,q_bh
05-06,0.974,0.765,0.209,3.25,0.0012,0.0325
04-05,0.911,1.1,-0.189,-2.02,0.0435,0.3796
04-08,1.238,1.062,0.176,2.01,0.0446,0.3796
04-07,0.848,0.956,-0.108,-1.92,0.0551,0.3796
01-07,1.045,0.982,0.063,1.76,0.0792,0.3796
01-02,1.487,1.265,0.222,1.74,0.0814,0.3796
01-04,1.087,0.89,0.197,1.55,0.1213,0.4852
02-05,1.143,0.979,0.164,1.44,0.149,0.5215
01-06,1.04,1.111,-0.071,-1.34,0.181,0.5507
03-04,0.36,0.952,-0.592,-1.29,0.1967,0.5507
03-06,1.243,1.037,0.206,1.18,0.2373,0.5535
02-07,0.953,0.846,0.107,1.17,0.243,0.5535
02-06,0.842,1.066,-0.224,-1.13,0.2573,0.5535
01-08,1.033,1.112,-0.079,-1.09,0.2767,0.5535
04-06,1.12,1.218,-0.098,-0.98,0.3287,0.5753
02-08,1.304,1.194,0.11,0.98,0.3288,0.5753
01-05,0.981,0.928,0.053,0.92,0.356,0.5832
05-07,0.969,0.995,-0.026,-0.86,0.3885,0.5832
02-03,0.0,1.032,-1.032,-0.82,0.4097,0.5832
06-07,0.907,0.929,-0.022,-0.81,0.4166,0.5832
03-05,0.696,0.896,-0.2,-0.67,0.5007,0.6378
03-08,0.599,0.806,-0.207,-0.67,0.5011,0.6378
06-08,0.849,0.885,-0.036,-0.51,0.6069,0.7389
05-08,1.003,0.976,0.027,0.42,0.6744,0.7868
07-08,1.054,1.063,-0.009,-0.31,0.757,0.8238
02-04,1.06,1.125,-0.065,-0.3,0.765,0.8238
01-03,1.061,1.105,-0.044,-0.26,0.7955,0.825
03-07,1.19,1.181,0.009,0.08,0.939,0.939
