slice,cell,n_l1,comp,lo,hi,excludes_1
cna(wire),L1-01×L2-08,768,0.119,0.054,0.2,True
cna(wire),L1-01×L2-06,768,2.295,2.078,2.505,True
cna(wire),L1-01×L2-03,768,4.436,3.282,5.783,True
cna(wire),L1-03×L2-05,2415,1.979,1.894,2.075,True
cna(wire),L1-03×L2-07,2415,0.557,0.533,0.586,True
cna(wire),L1-03×L2-08,2415,1.065,0.984,1.15,False
cna(wire),L1-07×L2-07,2518,1.51,1.439,1.583,True
ltn(green),L1-01×L2-08,405,0.161,0.058,0.28,True
ltn(green),L1-01×L2-06,405,1.948,1.659,2.245,True
ltn(green),L1-01×L2-03,405,1.701,0.925,2.61,False
ltn(green),L1-03×L2-05,1497,1.721,1.611,1.845,True
ltn(green),L1-03×L2-07,1497,0.628,0.59,0.674,True
ltn(green),L1-03×L2-08,1497,1.019,0.922,1.129,False
ltn(green),L1-07×L2-07,991,1.443,1.271,1.591,True
tvbs(blue),L1-01×L2-08,98,0.0,0.0,0.0,True
tvbs(blue),L1-01×L2-06,98,2.259,1.243,3.45,True
tvbs(blue),L1-01×L2-03,98,7.385,0.0,18.129,False
tvbs(blue),L1-03×L2-05,170,2.018,1.711,2.668,True
tvbs(blue),L1-03×L2-07,170,0.536,0.378,0.685,True
tvbs(blue),L1-03×L2-08,170,0.9,0.0,1.284,False
tvbs(blue),L1-07×L2-07,436,1.307,0.964,1.665,False
DPP,L1-01×L2-08,541,0.081,0.021,0.158,True
DPP,L1-01×L2-06,541,2.024,1.786,2.277,True
DPP,L1-01×L2-03,541,2.997,1.709,4.218,True
DPP,L1-03×L2-05,1590,1.862,1.751,1.991,True
DPP,L1-03×L2-07,1590,0.622,0.582,0.664,True
DPP,L1-03×L2-08,1590,1.052,0.957,1.145,False
DPP,L1-07×L2-07,1203,1.455,1.335,1.598,True
KMT,L1-01×L2-08,340,0.111,0.0,0.232,True
KMT,L1-01×L2-06,340,1.997,1.625,2.324,True
KMT,L1-01×L2-03,340,2.995,1.857,4.363,True
KMT,L1-03×L2-05,1134,1.929,1.805,2.075,True
KMT,L1-03×L2-07,1134,0.593,0.55,0.628,True
KMT,L1-03×L2-08,1134,1.021,0.892,1.185,False
KMT,L1-07×L2-07,1301,1.414,1.299,1.516,True
TPP,L1-01×L2-08,573,0.153,0.048,0.268,True
TPP,L1-01×L2-06,573,2.353,2.111,2.629,True
TPP,L1-01×L2-03,573,3.259,2.081,4.23,True
TPP,L1-03×L2-05,1545,1.904,1.789,2.026,True
TPP,L1-03×L2-07,1545,0.532,0.495,0.563,True
TPP,L1-03×L2-08,1545,1.014,0.909,1.127,False
TPP,L1-07×L2-07,1561,1.611,1.509,1.712,True
ltn ∩ DPP,L1-01×L2-08,186,0.154,0.043,0.319,True
ltn ∩ DPP,L1-01×L2-06,186,2.075,1.67,2.46,True
ltn ∩ DPP,L1-01×L2-03,186,2.495,0.898,4.619,False
ltn ∩ DPP,L1-03×L2-05,705,1.728,1.572,1.905,True
ltn ∩ DPP,L1-03×L2-07,705,0.696,0.628,0.766,True
ltn ∩ DPP,L1-03×L2-08,705,1.006,0.868,1.154,False
ltn ∩ DPP,L1-07×L2-07,462,1.359,1.111,1.572,True
cna ∩ KMT,L1-01×L2-08,184,0.06,0.0,0.212,True
cna ∩ KMT,L1-01×L2-06,184,2.231,1.817,2.649,True
cna ∩ KMT,L1-01×L2-03,184,4.622,2.366,7.562,True
cna ∩ KMT,L1-03×L2-05,678,1.924,1.752,2.095,True
cna ∩ KMT,L1-03×L2-07,678,0.607,0.559,0.662,True
cna ∩ KMT,L1-03×L2-08,678,0.994,0.838,1.165,False
cna ∩ KMT,L1-07×L2-07,685,1.412,1.298,1.545,True
