pair,n_specs,pct_positive,sign_stable
01-02,32,1.0,True
01-03,32,1.0,True
01-04,32,0.625,False
01-05,32,0.688,False
01-06,32,0.625,False
01-07,32,0.812,False
01-08,32,1.0,True
02-03,27,0.593,False
02-04,32,1.0,True
02-05,32,0.875,False
02-06,32,0.375,False
02-07,32,0.375,False
02-08,32,1.0,True
03-04,22,0.545,False
03-05,32,0.625,False
03-06,32,0.812,False
03-07,32,0.688,False
03-08,27,0.852,False
04-05,32,0.875,False
04-06,32,0.562,False
04-07,32,0.375,False
04-08,32,1.0,True
05-06,32,0.375,False
05-07,32,0.75,False
05-08,32,0.812,False
06-07,32,0.875,False
06-08,32,0.5,False
07-08,32,0.938,False
